name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
DELUXE PIZZA,5.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
TORTELLINI ALFREDO SAUCE,8.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
SPAGHETTI RED SAUCE,7.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
VEGGIE LOVERS PIZZA,5.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
SPAGHETTI ALFREDO SAUCE,8.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE PIZZA,3.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
MEAT LOVERS PIZZA,5.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
MARGHERITA PIZZA,5.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
HAWAIIAN PIZZA,5.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
SUPER DELUXE PIZZA,6.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
GREEK PIZZA,6.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
ALFREDO PIZZA,6.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
PESTO PIZZA,6.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
BBQ PIZZA,6.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
GARDEN SALAD,3.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
GREEK SALAD,5.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
CHEF'S SALAD,5.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED CHICKEN SALAD,6.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
GYRO SALAD,6.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
BAKLAVA,2.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
RICE PUDDING,3.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE CHEESECAKE,3.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
STRAWBERRY CHEESECAKE,3.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
NEW YORK STYLE CHEESECAKE,3.99,,ARABELLA MEDITERRANEAN PIZZERIA,"UBEREATS, HOUSTON, TX",,,,,,,
