name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
PAV BHAJI,8.49,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
BUTTER VADA PAV (2PC),7.99,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
DABELI (2PC),7.99,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
MASALA VADA PAY (2PC),8.49,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
RAGDA PATTICE,8.49,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
DAHI PURI,7.99,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
SEV PURI,7.49,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
CHAT PURI,7.99,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
DAHI BHALLA CHATT,10.99,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
PANI PURI,7.99,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
RAJ KACHORI,8.49,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
SAMOSA RAGDA,9.99,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
COMBINATION: BUTTER VADA PAV & DABELI,8.99,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
KULFIES,4.49,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
MASTANI,5.99,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
LASSI,4.49,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
THANDAI,5.99,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
THUMSUP,2.49,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
SODA CAN,1.5,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
MANGO MAZA,2.49,,BANSURI,"UBEREATS, HOUSTON, TX",,,,,,,
