name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
LEAN TURKEY CHILI,8.25,,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
CARIBBEAN SPICED SALMON,11.25,404.0,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
MEATLOAF & MAC N' CHEESE,8.5,401.0,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
BOURBON CHICKEN,8.75,,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
KOREAN GLASS NOODLE BOWL,8.25,,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
SWEET POTATO SKILLET,6.75,,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
"BACON, EGGS AND CHEESE",6.0,,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
BREAKFAST SCRAMBLE,6.25,240.0,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
BREAKFAST TACO,5.75,275.0,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
STEAK AND EGGS W/PESTO DRIZLE,7.0,392.0,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
PROTEIN PACK,6.75,,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
BANANA NUT PROTEIN MUFFINS,5.75,286.0,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
SOUTHWEST BREAKFAST TACO,5.0,396.0,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
KETO PROTEIN PANCAKES,6.75,,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
KOREAN BEEF BOWL W/RED BELL PEPPER,9.0,,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
MEATLOAF & CABBAGE,8.0,343.0,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
CASHEW CHICKEN,8.0,245.0,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
SPAGHETTI BOLOGNESE,8.25,,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
ZUCCHINI SPAGHETTI & MEATBALLS,8.25,,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
LOADED SWEET POTATO,10.0,345.0,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
ZUCCHINI LASAGNA,8.5,280.0,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
BRAISED THIGH W/ MUSHROOMS & SAUTEED KALE,8.5,,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
TACO SALAD,9.0,,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY LIME SHRIMP,9.75,,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
SEARED SALMON,10.5,,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP JAMBALAYA,8.75,205.0,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
LEMON BUTTER SHRIMP & ZUCCHINI,8.75,285.0,BEE FIT FOODS,"UBEREATS, HOUSTON, TX",,,,,,,
