name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
ELOTE CORN,4.0,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
PLANTAINS,3.0,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
POLLO QUESADILLA,6.0,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
BARBACOA QUESADILLA,6.0,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
ASADA QUESADILLA,6.0,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
POTATO TACOS,2.5,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
EGG TACOS,2.5,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
CHORIZO TACOS,2.5,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
BACON TACOS,2.5,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
SMOKED PORK,2.5,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
VEGGIE QUESADILLA,6.0,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
SMOKED PORK QUESADILLA,6.0,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
CHIPS & GUACAMOLE,6.0,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE BURGER,5.0,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
SLUSHIE,4.0,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
HOT COFFEE,2.0,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
AGUA FRESCA,3.5,,CANTINA BARBA,"UBEREATS, HOUSTON, TX",,,,,,,
