name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN BOWL,12.65,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN PITA,10.95,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF BOWL,13.75,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF PITA,12.65,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
VEGGIE BOWL,11.55,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
HUMMUS,8.25,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
LABNEH,7.98,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
BABAGANOUSH,7.98,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
FATTOUSH SALAD,7.15,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
TABOULLEH SALAD,5.78,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
QUINOA TABOULEH,6.55,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
TEXAS SPICY HUMMUS,8.25,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
ZATAAR FLATBREAD,5.45,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE FLATBREAD,7.15,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
HALF ZATAAR HALF CHEESE FLATBREAD,7.15,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
FRIES,4.35,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
FALAFEL SHARED PLATE,5.45,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
ROASTED POTATOES,4.95,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
ROASTED CAULIFLOWER,6.05,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
LEBANESE TACOS,12.05,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
SINGLE LEBANESE TACO,3.58,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
FALAFEL PITA,10.45,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
VEGGIE PITA,10.45,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
FALAFEL BOWL,11.55,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
KETO/WHOLE 30 BOWL,14.25,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
1/4 BIRD,12.05,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
1/2 BIRD,16.45,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
WHOLE BIRD,24.15,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN DINNER SPECIAL,40.7,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF DINNER SPECIAL,49.5,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
FALAFEL DINNER SPECIAL,43.95,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE FATOUSH SALAD,11.0,,CRAFT PITA,"UBEREATS, HOUSTON, TX",,,,,,,
