name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN KABOB PLATE,13.99,,DIMASSI’S MEDITERRANEAN KITCHEN (PEARLAND),"UBEREATS, HOUSTON, TX",,,,,,,
GYRO PLATE,13.99,,DIMASSI’S MEDITERRANEAN KITCHEN (PEARLAND),"UBEREATS, HOUSTON, TX",,,,,,,
GYRO WRAP,7.49,,DIMASSI’S MEDITERRANEAN KITCHEN (PEARLAND),"UBEREATS, HOUSTON, TX",,,,,,,
FALAFEL PLATE,12.99,,DIMASSI’S MEDITERRANEAN KITCHEN (PEARLAND),"UBEREATS, HOUSTON, TX",,,,,,,
LAMB SHANK PLATE,13.99,,DIMASSI’S MEDITERRANEAN KITCHEN (PEARLAND),"UBEREATS, HOUSTON, TX",,,,,,,
KAFTA KABOB PLATE,13.99,,DIMASSI’S MEDITERRANEAN KITCHEN (PEARLAND),"UBEREATS, HOUSTON, TX",,,,,,,
BAKED FISH PLATE,13.99,,DIMASSI’S MEDITERRANEAN KITCHEN (PEARLAND),"UBEREATS, HOUSTON, TX",,,,,,,
VEGETABLE PLATE,12.99,,DIMASSI’S MEDITERRANEAN KITCHEN (PEARLAND),"UBEREATS, HOUSTON, TX",,,,,,,
SHREDDED BEEF PLATE,13.99,,DIMASSI’S MEDITERRANEAN KITCHEN (PEARLAND),"UBEREATS, HOUSTON, TX",,,,,,,
FRIED CHICKEN PLATE,13.99,,DIMASSI’S MEDITERRANEAN KITCHEN (PEARLAND),"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN KABOB WRAP,7.49,,DIMASSI’S MEDITERRANEAN KITCHEN (PEARLAND),"UBEREATS, HOUSTON, TX",,,,,,,
KAFTA KABOB WRAP,7.49,,DIMASSI’S MEDITERRANEAN KITCHEN (PEARLAND),"UBEREATS, HOUSTON, TX",,,,,,,
FALAFEL WRAP,7.49,,DIMASSI’S MEDITERRANEAN KITCHEN (PEARLAND),"UBEREATS, HOUSTON, TX",,,,,,,
