name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
HORCHATA,2.75,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
MIXTA PUPUSAS / MIXED,2.5,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
SOPA DE GALLINA,12.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
PLATANO FRITO - CREMA Y FRIJOLES,6.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
MARANON,2.75,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
2 HUEVOS A SU GUSTO / 2 EGGS YOUR STYLE,6.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
PASTELES (3),6.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
EMPANADAS DE LECHE (3),6.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
TAMALES DE ELOTE CON CREMA,2.5,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
TAMALES DE GALLINA,2.5,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
YUCA CON CHICHARRON - FRITA O SANCOCHADA,6.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
PAN CON POLLO,7.5,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
ENCHILADAS SALVADORENAS (1),3.5,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
PAPAS FRITAS ESTILO SALVADORENO,4.25,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
PUPUSAS DE MAIZ / TRADITIONAL CORN FLOUR,2.25,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
PUPUSAS DE ARROZ / RICE FLOUR,2.5,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
"DE CAMARON, DE FAJITA O DE POLLO",3.25,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
SALPICON,9.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
CARNE DESHILADA,9.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
CARNE GUISADA,9.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
CARNE ASADA,10.75,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
BISTEC ENCEBOLLADO,10.25,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
CHULETAS DE PUERCO,9.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
POLLO GUISADO,9.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
CHILES RELLENOS,9.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
MOJARRA FRITA,12.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
CAMARONES EMPANIZADOS CON PAPAS FRITAS,10.25,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
PECHUGA A LA PLANCHA,9.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
PECHUGA EMPANIZADA CON PASTA ALFREDO Y LOROCO.,10.75,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
POLLO FRITO CON PAPAS FRITAS,9.25,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
SOPA DE RES,10.5,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
SOPA DE MONDONGO,10.5,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
SOPA DE CAMARONES,10.5,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
SOPA MARISCADA,12.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
TACO DE RES (1),2.25,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
TORTA DE RES,6.5,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
HAMBURGUESA CON PAPAS FRITAS,4.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
HAMBURGUESA CON QUESO Y PAPAS FRITAS,5.25,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
COCTEL DE CAMARONES,10.25,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN NUGGETS (5) WITH FRIES.,4.25,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
ATOL DE ELOTE,3.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
CHILATE COM NUEGADOS,6.95,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
SALPORES DE ARROZ,2.7,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
PASTELES DE PINA,2.7,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
ENSALADA DE FRUTA,3.5,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
TAMARINDO,2.75,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
CEBADA,2.75,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
LIMONADA,2.75,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE CON LECHE O SIN LECHE,2.85,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
TE HELADO,1.5,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
LECHE,2.0,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
CAFE,2.25,,EL PAPATURRO,"UBEREATS, HOUSTON, TX",,,,,,,
