name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SEAFOOD EGG-ROLLS,8.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
CHEESECAKE IN THE JAR,6.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
BAKED MAC 'N' CHEESE,4.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
OXTAILS,16.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
LIVING MY BEST LIFE,29.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
SEAFOOD NACHOS,6.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP AND GRITS,15.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
SEAFOOD EXTRAVAGANZA,29.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
SEAFOOD PAN,29.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
SEAFOOD PLATTER,15.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
BOURBON STREET PASTA,15.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
CRAWFISH ETOUFFEE,15.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
CRAB CAKES,15.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
SMOTHERED PORK CHOPS,12.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP SALAD,10.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN SALAD,9.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
FRIED CHICKEN WINGS,9.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
YAKAMEIN - 32 OZ,9.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
NEW ORLEANS GUMBO (SEASONAL),6.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
MASHED POTATO'S,3.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
SPICY BOILED RED POTATOES 1 LB,3.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
CORN ON THE COB (2),3.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
FRIES,2.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
ONION RINGS,2.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
MASHED POTATOES,3.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
DIRTY RICE,4.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
JAMBALAYA,4.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
RED BEANS AND RICE,4.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
GREEN BEANS,4.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
MOZZARELLA STICKS,4.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
NOLA PO'BOYS,10.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED CHEESE WITH FRIES,4.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN STRIPS WITH FRIES,4.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
FISH WITH FRIES,5.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP WITH FRIES,5.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
BOTTLED WATER,1.49,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
COKE,1.49,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
SPRITE,1.49,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
COKE ZERO,1.49,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
NESTEA,1.49,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
FANTA STRAWBERRY,1.49,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
FANTA ORANGE,1.49,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
LOBSTER TAIL,9.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
6 SHRIMP,4.99,,FIVE OHH FOUR (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
