name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
THE WING (5 PCS) MEAL,13.09,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
THE KING'S CHOICE MEAL,8.99,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
FAMILY MEAL (12 PCS),25.99,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
PEACH COBBLER,3.08,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
FEAST MEAL (4 PCS),11.78,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
FAMILY (8 PCS),17.02,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
FAMILY MEAL (8 PCS),23.57,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
LTW (10 PCS),18.33,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
LTW MEAL (10 PCS),23.57,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
FAMILY (10 PCS),20.95,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
FAMILY MEAL (10 PCS),26.19,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
FAMILY (12 PCS),17.99,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
FAMILY (16 PCS),26.19,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
FAMILY MEAL (16 PCS),41.91,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
FRENCHY FRIES,2.39,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
RED BEANS & RICE,2.39,,FRENCHY'S CHICKEN (MURPHY RD.),"UBEREATS, HOUSTON, TX",,,,,,,
