name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SESAME HOT CHICKEN,15.95,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
GENERAL TSO'S CHICKEN,15.95,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SWEET AND SOUR CHICKEN,12.95,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF WITH BROCCOLI,14.5,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
HONEY CHICKEN,15.95,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CRISPY VEGETABLE SPRING ROLL (2 PCS),3.4,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP TOAST (4 PCS),6.95,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
COLD CABBAGES SALAD,6.95,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED CRAB RANGOON (6 PCS),9.5,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF STICK (4 PCS),9.5,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
STUFFED PORK PAN FRIED DUMPLING (8 PCS),9.5,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
STUFFED PORK STEAM DUMPLING (8 PCS),9.5,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
STUFFED BEEF STEAM DUMPLING (8 PCS),9.5,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
VEGETABLE STEAM DUMPLING (8 PCS),9.5,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SPARE RIBS (4 PCS),10.5,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN LETTUCE WRAPS,12.95,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
COMBO PLATTER (FOR 2),17.95,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
HOT AND SOUR SOUP,3.25,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
EGG DROP SOUP,3.25,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
VEGETABLE SOUP,3.25,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP AND CHICKEN WITH VEGETABLE SOUP,3.95,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SHREDDED PORK WITH CHINESE PICKLE SOUP,3.95,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SWEET AND SOUR PORK,12.95,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
MOO SHU PORK WITH CREPES (4 PCS),13.95,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
PORK WITH SZECHUAN SAUCE,13.95,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
PORK WITH LEEKS,13.95,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CURRY BEEF WITH ONION,14.5,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF WITH GREEN PEPPERS,14.5,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY BEEF WITH MIXED VEGETABLES,14.5,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
MOO SHU BEEF WITH CREPES (4 PCS),14.5,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
TANGY SPICY BEEF,14.5,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
MONGOLIAN BEEF,15.5,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF WITH SNOW PEAS,15.5,,FU’S GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
