name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
GYRO,8.19,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
PITA,8.19,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
WRAP,8.19,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
PLATE,10.49,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
STEAK KABOB PLATE,14.19,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
HOMEMADE POTATO CHIPS,2.49,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
HUMMUS AND PITA,4.89,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
BABAGABOUSH,4.29,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
4 FALAFEL,3.0,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
4 SPICY JALAPENO FALAFEL,3.0,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
POMEGRANATE LEMONADE,2.89,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
BOTTLE OF WATER,1.99,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
TOPO CHICO,2.89,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
COKE BOTTLE,2.29,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
DIET COKE BOTTLE,2.29,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
PERRIER,2.89,,GARBANZO MEDITERRANEAN GRILL (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
