name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
GYRO - BULK,18.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
RED SAUCE - 8 OUNCE,4.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN - ENTREE BOWL,9.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
HUMMUS (8 OUNCE) AND PITA,4.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
SEASONED RICE - BULK,13.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
STEAK - ENTREE BOWL,11.79,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN AND STEAK - ENTREE BOWL,14.49,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
FALAFEL - ENTREE BOWL,10.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
GYRO - ENTREE BOWL,11.19,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
TRIPLE MEAT BOWL,16.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN FAMILY MEAL,49.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY JALAPENO FALAFEL BOWL,9.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
VEGAN GLUTEN FREE FALAFEL BOWL,10.49,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
GLUTEN FREE CHICKEN BOWL,10.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN - GYRO SANDWICH,8.25,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
STEAK - GYRO SANDWICH,8.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN AND STEAK - GYRO SANDWICH,10.79,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
FALAFEL - GYRO SANDWICH,7.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
GYRO - GYRO SANDWICH,8.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN KABOBS,14.79,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
COMBO KABOB DINNER,16.49,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN - BULK,16.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
STEAK - BULK,18.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
WHITE SAUCE - 8 OUNCE,4.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
FETA CHEESE - 8 OUNCE,5.29,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
PLATE AND SILVERWARE,0.25,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
HOMEMADE CHIPS,2.29,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
FALAFEL (4),3.5,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
PITA BREAD,1.59,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
FRESH BAKED COOKIES,1.69,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
WHITE SAUCE,0.79,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
RED SAUCE,0.79,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
TZATIKI SAUCE,0.79,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY JALAPENO FALAFEL (4),3.5,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
FRENCH FRIES,2.29,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
DIET COKE®,2.49,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
BOTTLE WATER,1.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
TOPO CHICO®,2.99,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
SAN PELLIGRINO,2.89,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
POMEGRANATE LEMONADE,3.49,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
COKE BOTTLE,2.49,,HALAL BROTHERS,"UBEREATS, HOUSTON, TX",,,,,,,
