name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FRIED SHRIMP,8.75,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
CRAB CAKES,8.75,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
FRIED SHRIMP TACOS,8.75,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
FRIED FISH TACOS,8.75,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
CAJUN FISH PO BOY,9.62,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED FISH TACOS,8.75,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED SHRIMP TACOS,8.75,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
SALMON BURGER,7.0,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
FRIED SHRIMP PO BOY,11.37,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
CAJUN SHRIMP PO BOY,11.37,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
FRIED FISH PO BOY,9.62,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP ETOUFFEE,12.25,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
BLACKENED FISH,8.75,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED SALMON,10.5,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
SEAFOOD GUMBO,14.0,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
FRIED FISH,10.5,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
FRIES,3.5,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
FRIED OKRA,3.5,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
RED BEANS AND RICE,3.5,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
HUSH PUPPIES,3.5,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
GRITS,3.5,,HOOK LINE & SEAFOOD (2616 BLODGETT ST),"UBEREATS, HOUSTON, TX",,,,,,,
