name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FRIED MOZZARELLA,7.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
HORN DOG OG,10.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
23RD ST DOG,13.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
BAJA DOG,12.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
HOT CHICKEN SANDWHICH,11.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
PLAIN ASS HORN DOG,9.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
TX CHILI DOG,11.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
PIZZA PARLOR DOG,11.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
GARLIC ROLL DOG,11.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
LIL BB BURGER,7.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN TENDIES,9.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
DRUNK SNACKS,10.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
CURLY FRIES,5.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
TOTS,5.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
ONION RINGS,6.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED OKRA,6.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
JALAPENO POPPERS,7.0,,HORN DOGS,"UBEREATS, HOUSTON, TX",,,,,,,
