name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
ZYDECO PASTA,28.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP ETOUFEE,22.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED STEAK FILLET PLATE,22.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
STEAK ENCHILADAS,19.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF STEW PLATE,20.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BREAKFAST TACOS,6.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
NEW ORLEANS BEIGNETS,4.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CRABMEAT QUICHE,10.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
RED VELVET PANCAKES,8.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
OATMEAL PANCAKES,7.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BREAKFAST POTATO MEDLEY,5.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
FRESH FRUIT CUPS,7.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BUTTERMILK PANCAKES,6.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CRISPY BACON SLICES,4.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
PORK SAUSAGE LINKS OR PATTIES,4.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BUTTERMILK BISCUITS,3.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
FRESH BAKED MUFFINS,4.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CROISSANTS,6.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MAPLE & BROWN SUGAR OATMEAL,3.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP & GRITS,11.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CHALLAH FRENCH TOAST PLATE,8.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MINI QUICHE LORRAINE,6.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MINI CHICKEN KABOBS,6.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MINI BEEF KABOBS,9.0,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MINI SHRIMP KABOBS,7.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BUFFALO WINGS,6.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
STUFFED MUSHROOMS,7.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SPINACH AND ARTICHOKE DIP WITH TOASTED BAGUETTE,8.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
STUFFED POTATO SKINS,6.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MINI MUFFALATA SANDWICHES,7.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED CHICKEN WINGETTES,7.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED CHICKEN DRUMMETTES,6.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MINI BEEF SLIDERS,8.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
HANDMADE CRABCAKES WITH CRAB SAUCE,10.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP EN BROCHETTE,9.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BRUSCHETTA MIX,6.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP COCKTAIL,9.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED FISH BITES,8.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BACON WRAPPED STUFFED JALAPENO,8.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SEAFOOD GUMBO,6.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN AND SAUSAGE GUMBO,7.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
YACAMEIN SOUP,7.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
"BEEF, CHICKEN, OR PORK EMPANADAS",7.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
ITALIAN HERB CHICKEN BREAST,21.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BRAISED BEEF BRISKET,27.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BBQ SAUSAGE PLATTER,18.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
ITALIAN CRUSTED PORK CHOPS PLATTER,18.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED POBLANO CHICKEN BREAST PLATTER,17.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
HOLIDAY MEAL,17.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SWEET & SOUR CHICKEN PLATE,15.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SALISBURY STEAK PLATE,22.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED SHRIMP PLATTER,18.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BAKED ZITI,14.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
NEW ORLEANS RED BEANS & RICE,18.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CRAWFISH MONICA PASTA,25.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SMOTHERED CHICKEN PLATE,19.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
STUFFED BELL PEPPER PLATE,19.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SPAGHOLIVE PASTA,16.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BLACKENED FLOUNDER PLATE,25.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN ENCHILADAS PLATE,18.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP PASTA PLATE,18.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
STUFFED FLOUNDER PLATE,25.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN PARMESAN PLATE,18.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
STEAK PLATE,24.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SMOTHERED TURKEY PLATE,21.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BREAD PUDDING WITH VANILLA SAUCE,6.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BANANA PUDDING,5.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CHEESECAKE WITH BANANA FOSTER SAUCE,6.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
KEY LIME PIE,5.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
FRESH BAKED COOKIES,2.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
PRALINE CANDY,4.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
FRESH BAKED BROWNIES,4.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
TRES LECHES,4.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CREME BRULEE,8.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BEIGNETS WITH POWDERED SUGAR,5.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
OOEY GOOEY CAKE,5.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
PEACH COBBLER WITH VANILLA ICE CREAM,7.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
FRUIT TARTS,4.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
RICE CRISPY TREATS,3.99,,HOUSTON CAFÉ INC RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
