name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
R4. SHRIMP FRIED RICE,9.25,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
B1. PEPPER STEAK,10.95,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
N3. SHRIMP LO MEIN,9.25,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
R2. PORK FRIED RICE,8.5,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
L34. GENERAL TSO'S CHICKEN,9.25,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
O1. HOT & SOUR SOUP,2.25,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
O2. EGG DROP SOUP,2.25,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
O3. WONTON SOUP,2.45,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
O4. TOFU & VEGETABLE SOUP,5.95,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
O5. HOUSE SPECIAL SOUP,7.25,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
O6. SEAFOOD SOUP,7.25,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
O7. CHICKEN CORN SOUP,7.25,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
M1. PORK CHOP SUEY,8.5,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
M1. CHICKEN CHOP SUEY,8.5,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
M2. BEEF CHOP SUEY,8.95,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
M3. HOUSE SPECIAL CHOP SUEY,10.25,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
M3. SHRIMP CHOP SUEY,10.25,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
N1. CHICKEN LO MEIN,8.75,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
N2. BEEF LO MEIN,9.25,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
N4. HOUSE SPECIAL LO MEIN,9.25,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
N5. VEGETABLE LO MEIN,8.25,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
N6. PORK LO MEIN,8.5,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
N7. SINGAPORE RICE NOODLE LO MEIN,8.95,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
M1. CHICKEN & PORK,8.5,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
M2. BEEF,8.95,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
M3. MIX & SHRIMP,10.25,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
C1. CHICKEN WITH BROCCOLI,9.75,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
C2. CHICKEN WITH SNOWPEAS,10.5,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
C3. MOO GOO GAI PAN,9.5,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
C4. ALMOND CHICKEN,9.75,,JIMMY WOK,"UBEREATS, HOUSTON, TX",,,,,,,
