name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TENDERS,8.95,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
FAMILY TENDERS (16),29.95,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
3 BOUDIN EGG ROLLS,10.95,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN TENDER BURGER,10.95,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
CHEESECAKE BROWNIE,4.95,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
ADDITIONAL TENDERS,1.95,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE CAJUN FRIES,3.95,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
CAJUN DIRTY RICE,4.95,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
DIPPING SAUCE,0.75,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
HAWAIIAN SWEET ROLLS,0.75,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
ORANGE SODA,2.75,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
SPRITE,2.75,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
BIG RED,2.75,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
COKE,2.75,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
FAMILY TENDERS (12),24.95,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
FAMILY TENDERS (24),34.95,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
PARTY TENDERS,75.95,,JUS TENDERS,"UBEREATS, HOUSTON, TX",,,,,,,
