name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN KATSU,14.25,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
PORK KATSU,14.25,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
KING PORK KATSU,22.1,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE KATSU,16.7,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
BULGOGI RICE,15.5,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
SOY UDON PORK,12.95,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
SOY UDON CHICKEN,12.95,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
SOY UDON BEEF,15.55,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP TEMPURA UDON,12.95,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
CURRY UDON WITH PORK,15.55,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
CURRY UDON WITH CHICKEN,15.55,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
CURRY UDON WITH BEEF,16.95,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
SOY UDON,10.4,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
SALAD,8.99,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
SALAD WITH PORK,11.65,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
SALAD WITH CHICKEN,11.65,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
SALAD WITH BEEF,13.95,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
VEGETARIAN TOFU KATSU,15.55,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF AND CHICKEN,20.75,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
PORK AND CHICKEN,18.1,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
"FISH, SHRIMP, AND CHICKEN",20.75,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
MIX,23.35,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF KATSU,18.9,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
FISH KATSU,15.55,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP BOX,18.1,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
PORK SANDWICH,11.65,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN SANDWICH,11.65,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF SANDWICH,14.1,,KRAZY KATSU & UDON,"UBEREATS, HOUSTON, TX",,,,,,,
