name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BUILD YOUR OWN CALZONE,18.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
THE BUFFALO PHILLY CALZONE,19.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
THE SUPREME CALZONE,19.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
ITALY'S CLASSIC PEPPERONI PIZZA,20.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN ALFREDO CALZONE,19.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
THE PHILLY CALZONE,19.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
"CHICKEN, SPINACH & TOMATOES CALZONE",19.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
"BEEF, MUSHROOMS & OLIVES CALZONE",19.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
"BEEF, BACON, & CHICKEN CALZONE",19.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
"OLIVES, MUSHROOMS, ONIONS & PEPPERS CALZONE",21.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
"BUFFALO CHICKEN, ONIONS & PEPPERS CALZONE",19.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
ITALY'S CLASSIC CHEESE PIZZA,19.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
ITALY'S BBQ CHICKEN PIZZA,24.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
FRENCH FRIES,9.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
LEMON PEPPER FRIES,10.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
CHEESY FRENCH FRIES,11.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
ONION RINGS,11.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
CHEESY BREAD,11.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
CLASSIC CHICKEN WINGS,13.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
BONELESS CHICKEN WINGS,13.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
MOZZARELLA STICKS,13.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN TENDERS WITH FRIES,13.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
BUFFALO SAUCE,0.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
BBQ SAUCE,0.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
RANCH SAUCE,0.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
MARINARA SAUCE,0.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
PIZZA SAUCE,0.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
TERIYAKI SAUCE,0.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
COKE (20 OZ),2.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
PEPSI (20 OZ),2.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
DIET COKE (20 OZ),2.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
SPRITE (20 OZ),2.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
GINGER ALE (20 OZ),2.99,,LITTLE ITALY'S CALZONE (1014 WIRT RD SUITE 260),"UBEREATS, HOUSTON, TX",,,,,,,
