name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
HUMMUS,9.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
SHAWARMA SANDWICH,10.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
TABOULI SALAD,9.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
MIXED GRILL,35.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF GRAPE LEAVES,9.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
MEZZA COMBINATION,44.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
SHAWARMA,23.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
MIXED SHAWARMA,25.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
LAHM MESHWE,23.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
KAFTA KEBAB,23.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
DJEJ MESHWI,23.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
SHISH TAWOOK,23.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
FISH FILLET,23.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
FALAFEL,15.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
MAQANIK,12.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
MARY'Z HUMMUS,12.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
FOUL MUDAMMAS,11.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
SAUTEED BEEF,10.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
SUJOK,12.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
MARY'Z SAMPLER,18.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
LAMB CHOPS,23.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
MEZZA COMBINATON,44.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
BABA GANOUSH,9.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
RICE WITH VERMICELLI,6.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
ROASTED EGGPLANTS,9.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
POTATOES,8.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
PICKLES,7.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN LIVER,11.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
VEGGIE GRAPE LEAVES,9.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
EGGPLANT EXTRAVAGANZA,10.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
CABBAGE ROLLS,10.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
SHANKLISH,9.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
HALLOUMI CHEESE,12.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
FATTEH,12.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF PIE,2.25,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
SPINACH PIE,2.25,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE PIE,2.25,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
KIBBI,2.25,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED CAULIFLOWER,9.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
GREEN BEANS,9.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
LABNE,9.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
LABAN,7.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
FRENCH FRIES,6.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
FATTOUSH SALAD,10.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
YOGHURT AND CUCUMBER SALAD,8.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
CAESAR SALAD,10.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
HOUSE SALAD,10.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
CABBAGE SALAD,10.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
GREEK SALAD,13.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
ZAATAR,6.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
JABNE,8.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
LAHM BEL AJEEN,9.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
TRIO,13.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE AND SUJOK,10.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
SHISH TAWOOK SANDWICH,10.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
LAHEM MESHWI SANDWICH,11.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
KAFTA KEBAB SANDWICH,10.95,,MARY'Z MEDITERRANEAN CUISINE,"UBEREATS, HOUSTON, TX",,,,,,,
