name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
OXTAILS,7.79,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
FUNNEL CAKE,9.09,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED RIBS,7.79,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN BASKET,7.79,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
CATFISH BASKET,7.79,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
GUMBO,7.79,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
ETOUFFEE,7.79,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
RED BEANS,7.79,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
JAMBALAYA,7.79,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
CAJUN FRIED RICE,7.79,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
BOUDIN,9.09,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
BOUDIN BALLS,9.09,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
CHEF SALAD,11.29,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN,14.29,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP,16.89,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
CATFISH NAWEL,16.9,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP BASKET,7.79,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
COMBO BASKET,20.79,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
HAMBURGER PO BOY,12.99,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
CATFISH PO BOY,14.29,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP PO BOY,14.29,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
ALLIGATOR PO BOY,16.89,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
BRISKET PO BOY,16.89,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
OYSTER PO BOY,16.89,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
LOBSTER PO BOY,20.79,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
CRAB LEGS,20.79,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
LOBSTER,20.99,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
CORN,1.95,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
POTATOES,1.95,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
BANANA PUDDING,7.48,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
MACARONI AND CHEESE,5.19,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
RICE,5.19,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
GARLIC SPINACH,5.19,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
BLACK-EYED PEAS,5.19,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
TEA,3.89,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
FRESH FRUIT SMOOTHIES,6.49,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
JUICES,6.49,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
WATER,1.3,,NAWEL'S CAJUN AND SOUL FOOD,"UBEREATS, HOUSTON, TX",,,,,,,
