name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
PHO DAC BIET XUONG SUON BO,12.75,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
CHA GIO - EGG ROLLS,4.75,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
BO NE,14.49,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
GOI CUON - SPRING ROLLS,5.25,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
CHEN TUY,4.75,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PBT NEM NUONG CUON,5.95,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
GOI CUON THIT NUONG - CHARGRILLED PORK SPRING ROLLS,5.95,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
COM CHIEN BO LUC LAC,14.25,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
COM TRANG BO LUC LAC,13.25,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
COM CHIEN TOM,11.25,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
COM CHIEN BO & TOM LUC LAC,17.25,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
COM TRANG BO & TOM LUC LAC,16.25,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
COM THIT NUONG TRUNG CHIEN,9.49,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PBT SPECIAL NEM NUONG COM DIA,9.49,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO DUOI BO,11.49,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO BO KHO,11.49,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO BE THUI,11.49,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO LUOI BO,11.49,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO TAI,9.0,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO BO VIEN,9.0,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO TAI CHIN,9.0,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO TAI VE DON,9.0,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO TAI BO VIEN,9.0,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO TAI NAM,9.0,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO CHIN NAM,9.0,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO TAI NAM GAN,9.0,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO TAI NAM GAU,9.0,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO TAI NAM GAN SACH,9.0,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO TAI NAM GAU SACH,9.0,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO TAI NAM GAU GAN SACH,9.0,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PHO CHIN NAM GAU GAN VE DON,9.0,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
CHEN DUOI BO,6.49,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
DIA BE THUI,6.25,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
DIA LUOI BO,6.25,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
THEM SUON BO,5.95,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
CHEN BO VIEN,5.49,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
DIA TAI UOP,4.75,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
BANH MI,1.75,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
CHEN BANH PHO,3.75,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
CHEN COM TRANG,2.99,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
TRUNG CHIEN,1.25,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
CHEN SOUP,2.49,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
SPECIAL STRAWBERRY MANGO TEA W/RAINBOW JELLY,5.0,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
NUOC CAM TUOI - FRESH SQUEEZE OJ,4.99,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
CAFE SUA DA,4.25,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
FLAVORED TEAS,4.25,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
PEACH ICED TEA,4.25,,PHO BO TO & BO NE,"UBEREATS, HOUSTON, TX",,,,,,,
