name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
MINI TACOS,11.7,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CHILE CON QUESO,7.79,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
RUCHI'S STRAWBERY RITA (LIMITED RITA),9.75,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
"BURRITO-FAJITA, POLLO, AL PASTOR, PIERNA, OR BARBACOA",10.0,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
PARRILLADA TWO,38.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN TORTILLA SOUP,10.38,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
QUESO FLAMEADO CON CAMARONES,10.38,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
QUESO RANCHERO CON HONGOS,7.79,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
QUESO FLAMEADO CON CHORIZO,7.79,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
QUESO FLAMEADO CON CARNE DE RES,7.75,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
GUACAMOLE,7.49,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
FRIJOLES CHARROS,6.49,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
NACHO DE FAJITA,14.29,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
NACHO DE POLLO,14.29,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
NACHO MIXTOS,15.59,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CHILE RELLENO PLATE,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
(2) TACO AL CARBON PLATE (FAJITA RES O FAJITA POLLO),12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
(3) FLAUTAS PLATE DE RES O POLLO ( BEEF OR CHICKEN),12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
PLATO MIXTO,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
POLLO GUISADO PLATE,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CARNE GUISADA PLATE,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
COSTILLAS DE CERDO EN SALSA PLATE,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
(2)FISH TACOS PLATE,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
TACOS QUEBRADIZOS (2 CRISPY TACOS) PLATE,11.7,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
TACOS,3.24,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
FISH TACO,5.84,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
TACO QUEBRAZIDO,2.6,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CAMARON (SHRIMP) SPECIAL TACO,4.28,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
AL CARBON SPECIAL TACO,4.28,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
BURRITO-LENGUA O VEGETARIANO,9.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
BURRITO CALIFORNIAN DE FAJITA O POLLO,9.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
BURRITO DINNER,13.64,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
BURRITO DE CAMARON ( SHRIMP),12.34,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
BURRITO DINNER DE CAMARON,14.29,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
BURRITO DE PECHUGA ( CHICKEN BREAST),11.69,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
BURRITO DE PECHUGA DINNER (CHICKEN BREAST),14.29,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
BURRITO SUPREME,13.64,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
BURRITO SUPREME DE CAMARON O PECHUGA ( SHRIMP OR CHICKEN BREAST),14.29,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CHIMICHANGA,11.69,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CHIMICHANGA DINNER,14.29,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
ENCHILADA MIXTAS,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
ENCHILADA DE QUESO,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
ENCHILADA MEXICANAS,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
ENCHILADA VALLARTA,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
ENCHILADA DE POLLO (CHICKEN),12.6,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
ENCHILADA DE PECHUGA ( CHICKEN BREAST),13.64,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
ENCHILADA DE CAMARON (SHRIMP),14.3,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
"TOSTADA - FAJITA, AL PASTOR O POLLO",5.2,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
TOSTADA-TINGA O PECHUGA,4.55,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
TOSTADA-CEVICHE O CAMARON,5.2,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
HAURACHE,8.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
SOPE,6.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
SOPE DE PECHUGA O CAMARON ( CHICKEN BREAST OR SHRIMP),7.8,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
GORDITA,5.6,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
TORTA-FAJITA (BEEF FAJITA),9.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
TORTA DE LENGUA ( BEEF TONGUE),9.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
TORTA DE POLLO ( CHICKEN),9.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
AL PASTOR TORTA,9.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
PIERNA TORTA ( PORK LEG),8.44,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
JAMON TORTA ( HAM),9.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
TINGA TORTA,9.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
PECHUGA TORTA ( CHICKEN BREAST),11.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
MILANESA TORTA (LEAN BEEF),11.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
BISTEK TORTA,11.7,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
TORTA DE CAMARON (SHRIMP),11.7,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CHILANGA TORTA (MEXICAN SAUSAGE),10.4,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
HAWAIIANA TORTA,11.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
TORTA- FILETE DE PESCADO,11.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CUBANA TORTA,11.7,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
FAJITA QUESADILLA,5.19,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
POLLO QUESADILLA,4.4,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
PECHUGA QUESADILLA,4.4,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
AL PASTOR QUESADILLA,4.4,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
JAMON QUESADILLA,4.4,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CAMARON QUESADILLA,5.19,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
QUESO QUESADILLA,3.89,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
QUESADILLA PLATE,13.64,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
COSTILLAS ASADAS,13.9,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
T BONE,16.9,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
ALAMBRE DE CARNES DE RES,14.29,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
BISTEC RANCHERO,14.29,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
MILANESA EMPANIZADA,14.29,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
FAJITAS AL CARBON,14.29,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
FAJITAS A LA PLANCHA,14.29,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
FAJITAS DE RES EN SALSA,14.29,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
PECHUGA DE POLLO EN SALSA,13.9,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
PECHUGA EMPANIZADA,13.9,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
PARRILLADA ONE,20.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
PARRILLADA THREE,51.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
PARRILLADA FOUR,64.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
COCTEL DE CAMARON,14.3,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CAMARONES EMPANIZADOS,18.2,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CAMARONES DE LUJO,22.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CAMARONES A LA PLANCHA,15.59,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CAMARONES A LA DIABLA,15.59,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CAMARONES AL MOJO DE AJO,15.59,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
FILET DE PESCADO EMPANIZADO,15.59,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
MOJARRA FRITA,14.3,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
MESQUITE TILAPIA CON CAMARONES,22.1,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
ENSALADA DE FAJITA,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
ENSALADA DE POLLO,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
ENSALADA DE CAMARON,14.3,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
TACO SALAD,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CALDO DE RES,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CALDO DE POLLO,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CALDO DE CAMARON O PESCADO,14.3,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CALDO DE MARISCOS,14.3,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
PAPAS FRITAS,4.28,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
FRIJOLES,3.89,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
PICO DE GALLO,1.3,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CREMA,3.24,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
QUESO,4.54,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
CHIPS TO GO,4.28,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
SAUSAGE,5.19,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
KID'S TACO PLATE,6.5,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
KID'S-TACO DE CAMARON O PECHUGA ( CHICKEN BREAST OR SHRIMP),7.8,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
KID'S QUESADILLA PLATE,6.5,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
KID'S ENCHILADA PLATE,6.5,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
KID'S HAMBURGER,7.8,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
KID'S CHICKEN NUGGETS,6.5,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
KID'S TEXAS BURGER,12.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
AGUA NATURAL,4.19,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
COFFEE,2.69,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
SANGRIA,2.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
COCA COLA,3.79,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
JARRITOS,2.99,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
SIDRAL,3.9,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
TOPO CHICO,3.9,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
RUCHI'S MANGO RITA (LIMITED TIME),9.75,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
RUCHI'S PEACH RITA (LIMITED TIME),9.75,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
RUCHI'S RITA (LIMITED RITA),9.75,,RUCHI'S MEXICAN GRILL (RICHMOND),"UBEREATS, HOUSTON, TX",,,,,,,
