name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SHRIMP SEOUL BOWL,10.0,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
VEGGIE EGGROLLS,6.0,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP FRIED RICE BOW,14.0,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP TERIYAKI BOWL,14.0,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF TERIYAKI BOWL,13.0,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
PORK EGGROLLS,7.0,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
PICKIN CHICKEN,9.0,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN KATSU,10.0,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN SEOUL BOWL,11.0,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
TOFU SEOUL BOWL,10.0,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN TERIYAKI BOWL,11.0,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
TOFU TERIYAKI BOW,10.0,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN FRIED RICE BOW,10.0,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF FRIED RICE BOWL,12.0,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
TOFU FRIED RICE BOW,10.0,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
SPRITE (CAN),1.99,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
COKE (CAN),1.99,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
WATER (BOTTLE),1.5,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
EXTRA SRIRACHA,0.5,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
EXTRA THAI CHILI,0.5,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
EXTRA BOURBON TERIYAKI,0.5,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
EXTRA SPICY MAYO,0.5,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
EXTRA KIMCHI,1.5,,SEOUL BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
