name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BEEF SHAWARMA ARABIC,11.0,,SHAWARMA MAKER,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN SHAWARMA ARABIC,10.0,,SHAWARMA MAKER,"UBEREATS, HOUSTON, TX",,,,,,,
MIXED SHAWARMA ARABIC,10.0,,SHAWARMA MAKER,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF SHAWARMA OVER RICE,9.0,,SHAWARMA MAKER,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN SHAWARMA OVER RICE,9.0,,SHAWARMA MAKER,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF SHAWARMA SANDWICH,8.5,,SHAWARMA MAKER,"UBEREATS, HOUSTON, TX",,,,,,,
ADANA KABOB SANDWICH,8.5,,SHAWARMA MAKER,"UBEREATS, HOUSTON, TX",,,,,,,
MIXED SHAWARMA SANDWICH,8.0,,SHAWARMA MAKER,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN SHAWARMA SANDWICH,7.5,,SHAWARMA MAKER,"UBEREATS, HOUSTON, TX",,,,,,,
ZINGER SANDWICH,7.5,,SHAWARMA MAKER,"UBEREATS, HOUSTON, TX",,,,,,,
FALAFEL SANDWICH,6.5,,SHAWARMA MAKER,"UBEREATS, HOUSTON, TX",,,,,,,
SODA,2.0,,SHAWARMA MAKER,"UBEREATS, HOUSTON, TX",,,,,,,
WATER,2.0,,SHAWARMA MAKER,"UBEREATS, HOUSTON, TX",,,,,,,
