name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SAUSAGE AND CHEESE,2.89,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
JALAPENO SAUSAGE AND CHEESE,2.89,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
DO NUT HOLES,2.19,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
MILK,1.69,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
JUICES,2.19,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
KOLACHE COMBO,5.79,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
BEIGNETS,5.89,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
BEIGNETS (HALF ORDER- 2),3.59,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
ICED BITES,3.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
CLASSIC GLAZED DO NUTS,1.19,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
CHERRY ICED SPRINKLE,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE ICED NUT,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
WHITE ICED,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE ICED,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
WHITE ICED SPRINKLE,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
STRAWBERRY ICED SPRINKLE,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
CINNAMON SUGAR,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
RANDOM DONUTS ICED,6.79,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
CHERRY ICED,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE ICED SPRINKLE,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
MAPLE ICED,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
COCONUT ICED,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
PLAIN SUGAR,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
SUGAR WHITE,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
BULLSEYE STRAWBERRY,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
BULLSEYE WHITE,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
BULLSEYE CHOCOLATE,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
BULLSEYE CHERRY,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
BULLSEYE MAPLE,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
CRUNCHY,1.29,,SHIPLEY DO-NUTS (1001 MCKINNEY ST),"UBEREATS, HOUSTON, TX",,,,,,,
