name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
MADRAS THALI,9.99,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
CHOLE BHATURA,9.94,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
IDLI (3 PCS),5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
MASALA DOSA,7.85,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
PAAV BHAJI,7.85,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
SAMOSA (3 PCS),4.27,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
MIRCHI BHAJIA,7.13,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
DHAI VADA,6.13,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
GREEN ONION PAKORA,7.13,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
PANEER PAKORA,8.42,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
PYARELAL KACHORI,6.13,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
KHASTAA KACHORI,5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
VEGETABLE SPRING ROLL,7.13,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
IDLI & MAIDU VADA COMBO,5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
MAIDU VADA,5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
CHATNI BREAD PAKORA,6.42,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
USAL PAAV,7.13,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
PAAV VADA (2 PCS),6.99,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
ALLOO BONDA/BATATA VADA (4 PCS),7.13,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
VEGETABLE CUTLETS (3 PCS),7.13,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
RAGADA PATTIES,7.56,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
KHAMAN DHOKLA,7.13,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED IDLI,5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
PAPDI CHAAT,5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
SEV PURI,5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
DABELI CHAAT,5.19,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
SAMOSA CHAAT,6.39,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
DHAI PURI,5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
PANI PURI,5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
BHEL PURI,5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
CHINESE BHEL,7.13,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY CORN BHEL,7.13,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
DAABELI SANDWICH (2 PCS),7.13,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
MIRCHI CHAAT,7.56,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
ALLOO TIKI CHAAT,7.13,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
MIXED CHAAT,7.56,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
PURI BHAJI,5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
CHAPATHI BHAJI,5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
VEGETABLE BRIYANI,7.14,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
CURD RICE,6.42,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
MASALA CHILI RICE,6.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
TAMARIND RICE,5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
COCONUT RICE,5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
LEMON RICE,5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
TOMATO RICE,5.7,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
UPAMA,7.14,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
UPAMA WITH MAIDU VADA,8.43,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
TOMATO OMELETTE (VEGETARIAN - NO EGG),7.85,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
HALWA PURI WITH SABJI,7.85,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
MANGO RAS PURI WITH SABJI,7.85,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIKHANDH PURI,7.85,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
ALLOO PARATHA (2 PCS),8.57,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
MASALA PARATHA (2 PCS),8.57,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
PANEER PARATHA (2 PCS),12.14,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
DAAL FRY WITH CHAPATHI,8.57,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
DAAL FRY WITH JEERA RICE,8.57,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
BISIBILLA BAATH,7.14,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
CHINESE MANCHURIAN WITH RICE & CHAPATHI,10.71,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
KURMA WITH PARATHA,8.57,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
MUMBAI KHATI ROLL (2 PCS),9.28,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
MUMBAI SANDWICH,7.85,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
UTTAPUM,9.09,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE UTTAPUM,9.99,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
SADA DOSA,7.13,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
MYSORE SADA DOSA,7.85,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
SADA DOSA WITH ONION,7.5,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
MYSORE MASALA DOSA,8.57,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
SADA DOSA MULGA PODI DOSA,9.28,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
MASALA MULGA PODI DOSA,9.99,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
BUTTER SADA DOSA,7.85,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
BUTTER MASALA DOSA,8.57,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE SADA DOSA,8.57,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE MASALA DOSA,9.28,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
RAVA SADA DOSA,7.85,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
RAVA MASALA DOSA,8.57,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
RAVA SADA DOSA WITH ONION,8.57,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
RAVA MASALA DOSA WITH ONION,9.99,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY SPRING DOSA,12.86,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
SAAG PANEER DOSA,13.57,,SHRI BALAJI BHAVAN,"UBEREATS, HOUSTON, TX",,,,,,,
