name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FOOTLONG QUARTER POUND CONEY COMBO,8.09,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
LARGE MOZZARELLA STICKS,5.99,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
SONIC CHEESEBURGER COMBO,7.79,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
FOOTLONG QUARTER POUND CONEY,4.59,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
LARGE CHILI CHEESE TATER TOTS,4.49,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
WACKY PACK JR.BURGER,4.29,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
WACKY PACK CHICKEN STRIPS,4.59,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
WACKY PACK CORN DOG,4.19,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
WACKY PACK GRILLED CHEESE,4.19,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
WACKY PACK BEEF HOT DOG,4.19,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
SUPER SONIC DOUBLE CHEESEBURGER COMBO,9.19,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
COUNTRY FRIED STEAK SANDWICH COMBO,8.29,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
PREMIUM BEEF HOT DOG COMBO,7.09,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
JUMBO POPCORN CHICKEN COMBO,8.29,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
LARGE JUMBO POPCORN CHICKEN COMBO,9.49,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
CLASSIC GRILLED CHICKEN SANDWICH COMBO,8.39,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
SUPER CRUNCH CHICKEN STRIPS 3 PIECE DINNER ONE COMBO,8.59,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
SUPER CRUNCH CHICKEN STRIPS 5 PIECE DINNER TWO COMBO,8.99,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
CLASSIC CRISPY CHICKEN SANDWICH COMBO,8.39,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
MEDIUM SAUCE POPCORN CHICKEN COMBO,8.29,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
LARGE SAUCE POPCORN CHICKEN COMBO,9.29,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
SONIC CHEESEBURGER,4.79,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
SUPER SONIC DOUBLE CHEESEBURGER,6.39,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
COUNTRY FRIED STEAK SANDWICH,5.29,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
PREMIUM BEEF HOT DOG,2.39,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
CLASSIC GRILLED CHICKEN SANDWICH,5.29,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
CLASSIC CRISPY CHICKEN SANDWICH,5.29,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
MEDIUM JUMBO POPCORN CHICKEN,5.09,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
LARGE JUMBO POPCORN CHICKEN,6.29,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
3 PIECES SUPER CRUNCH CHICKEN STRIPS,4.49,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
5 PIECES SUPER CRUNCH CHICKEN STRIPS,6.29,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
MED SAUCE POPCORN CHICKEN,5.19,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
LARGE SAUCE POPCORN CHICKEN,6.19,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
MEDIUM MOZZARELLA STICKS,4.59,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
MEDIUM HANDMADE ONION RINGS,3.39,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
LARGE HANDMADE ONION RINGS,3.79,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
LARGE CHED 'R' PEPPERS,6.59,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
MEDIUM CHILI CHEESE FRIES,3.89,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
LARGE CHILI CHEESE FRIES,4.49,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
BACON,1.0,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE,1.0,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
JALAPENOS,0.8,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
CHILLI,0.75,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
PRETZEL,2.59,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
MEDIUM CHILI CHEESE TATER TOTS,3.89,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
MEDIUM CHED 'R' PEPPERS,5.39,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
SUMMER EDITION DRAGON FRUIT RED BULL® SLUSH,3.44,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
RED BULL® SLUSH,3.44,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
SMALL SIGNATURE LIMEADES,1.79,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
MEDIUM SIGNATURE LIMEADES,2.39,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
LARGE SIGNATURE LIMEADES,2.69,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
ROUTE 44 SIGNATURE LIMEADES,3.09,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
SMALL ALL NATURAL LEMONADE,2.39,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
MEDIUM ALL NATURAL LEMONADE,2.89,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
LARGE ALL NATURAL LEMONADE,3.19,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
ROUTE 44 ALL NATURAL LEMONADE,3.59,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
SMALL FROZEN LEMONADE,2.29,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
MEDIUM FROZEN LEMONADE,2.99,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
LARGE FROZEN LEMONADE,3.29,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
ROUTE 44 FROZEN LEMONADE,3.59,,SONIC (3626 OLD SPANISH TRAIL),"UBEREATS, HOUSTON, TX",,,,,,,
