name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BURRITOS,5.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
TORTAS,6.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
TACO STREET (3 COUNT),4.5,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
QUESADILLAS,4.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
MULITAS DE BIRRIA,8.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
ENCHILADAS VERDES,7.99,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
ENCHILADAS SUIZAS,7.99,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
ENCHILADAS DE MOLE,7.99,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
ENCHILADAS MEXICANAS,7.99,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
TACOS,1.5,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
GORDITAS,3.5,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
BURRITO,5.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
TOSTADA TACO,2.5,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
PUPUSAS,2.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
HUARACHE,4.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
BOWL,6.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
MORISQUETA (COOKED RICE),7.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
50 TACO TRAY (SERVES 12 TO 16 PEOPLE),66.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
25 TACO TRAY,33.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
20 PUPUSAS TRAY (SERVES 9-11 PEOPLE),36.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
10 PUPUSAS TRAY (SERVES 4 TO 6 PEOPLE),18.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
BISTEK RANCHERO,9.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
BISTEK ENCEBOLLADO,9.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
BISTEK CON NOPALES (CACTUS),9.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
TACOS DE BIRRIA,2.5,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
QUESATACOS,3.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
EMPALME,4.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
QUESABIRRIA,10.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
BURROBIRRIA,10.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
BIRRIA REGULAR,12.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
BIRRIA REVOLVIDA,13.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
RAMEN BIRRIA,7.0,,TAQUERIA LOS REYES MICHOACÁN,"UBEREATS, HOUSTON, TX",,,,,,,
