name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BREAKFAST TACO,3.33,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
BREAKFAST BOWL,3.33,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
BREAKFAST BURRITO,5.33,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
BREAKFAST PLATE,7.33,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
TACOS (2),10.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
SINGLE TACO,5.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
BURRITO,10.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
BOWL,10.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
TACO BOWL,10.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
NACHOS,10.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
SALAD,10.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
QUESADILLA,10.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN FAJITA TACO,5.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
TEXAS BRISKET TACO,6.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
MEXICAN BARBACOA TACO,5.66,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN AND CHEDDAR TACO,5.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
TANGY CARNITAS TACO,5.33,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF AMERICANO TACO,5.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF FAJITA TACO,6.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
VEGGIE TACO,5.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
BAJA SHRIMP TACO,6.67,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
BAJA FISH TACO,5.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
COOKIE,1.67,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
SALSA AND CHIPS,2.66,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
CREAMY DIP AND CHIPS,4.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
GUACAMOLE AND CHIPS,4.67,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
QUESO AND CHIPS,4.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
SIDE OF SALSA,1.33,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
SIDE OF GUACAMOLE,2.66,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
SIDE OF QUESO,2.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
CORN TORTILLA CHIPS,2.0,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
FOUNTAIN DRINK,2.66,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
BOTTLED DRINK,3.53,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
WATER BOTTLE,2.66,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
JUICE,3.13,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
ICED TEA,2.66,,TIKI TAKO,"UBEREATS, HOUSTON, TX",,,,,,,
