name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
OYSTER BAR TRASH,23.1,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
BOURBON STREET,42.9,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
GULF SNAPPER MELISSA,42.9,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
LOADED BAKED POTATO,11.0,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
BROILED SEAFOOD PLATTER,42.9,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
BOILED SHRIMP,20.9,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
CALAMARI,18.7,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
TEMPURA SHRIMP,18.7,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
CRAB CAKE,20.9,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
BACON WRAPPED SHRIMP,18.7,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
BITS & PIECES,18.7,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
BANG BANG SHRIMP & SHISHITOS,18.7,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
SEA BASS BITES,19.8,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP COCKTAIL,20.9,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
SOUTHEREN FRIED CHICKEN BITES,18.7,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
TIGER PRAWN DUMPLINGS,14.3,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
NEW ORLEANS BBQ GULF SHRIMP,19.8,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
CRAB & LOBSTER ROLL,18.7,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
SEAFOOD FILE GUMBO,9.9,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP,8.8,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN & SAUSAGE,8.8,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
SEAFOOD SALAD TRIO,25.3,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
HOUSE CHOPPED,13.2,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
GREEK,11.0,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
GREEN GODDESS,13.2,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
BLACKEND CHICKEN SALAD,17.6,,WILLIE G'S SEAFOOD (1640 WEST LOOP SOUTH),"UBEREATS, HOUSTON, TX",,,,,,,
