name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
WOOD-GRILLED HUGO'S BURGER,17.6,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
RED CORNER CHICKEN ENCHILADAS,22.0,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
JALAPENO FETTUCCINE PASTA,19.8,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
PAN-ROASTED CRISPY CHICKEN,26.4,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
BUCATINI WITH SPICY CRAB,29.7,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
DUCK SPRINGS ROLL PLATE,13.2,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP WRAPS,17.6,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
TORTILLA SOUP,11.0,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
WEDGE SALAD,13.2,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
CHARRED CAULIFLOWER & SHISHITO PEPPERS,15.4,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
PERFECT CHOCOLATE CAKE,9.9,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
BANANA PUDDING,9.9,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
PENNE PASTA,7.7,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED SHRIMP,7.7,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
CRISPY CHICKEN TENDERS,7.7,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
HOUSE MADE MACARONI & CHEESE,7.7,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
TEXAS GULF SHRIMP & STONE-GROUND CHEESE GRITS,28.6,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
PAN-SEARED SCALLOPS,28.6,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
BUTTER-BASTED RIBEYE,40.7,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
PAN-SEARED STRIPED BASS,29.7,,BACKSTREET CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
