name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHEESE DOG,5.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
CHILI CHEESE DOG,5.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
FRANK AND BEANS DOG,5.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
THE KRAUT,5.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
NACHO DOG,5.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY SLAW DOG,5.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
BLT DOG,5.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
JALAPENO POPPER BACON DOG,5.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
BACON CHEESE DOGGER,5.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
BUILD YOUR OWN DOG,5.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
CUCUMBER SUB SANDWICH,6.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
NO-FORK WEDGE SALAD,6.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
CLASSIC TOMATO SANDWICH,4.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
LAYS BAKED CHIPS,2.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
CUCUMBER SLICES,1.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
WHOLE DILL PICKLES,1.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
BOTTLED WATER,1.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
ROOT BEER,1.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
APPLE SODA,1.0,,BAKED NOT FRIED,"UBEREATS, HOUSTON, TX",,,,,,,
