name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CURRY CHICKEN POTATO,9.45,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
CRISPY GARLIC CHICKEN,9.95,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
CHILI BANG-BANG CHICKEN,9.95,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
CRISPY STYLE PORK CHOP,10.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
FAMILY FAVORITE,10.45,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
BANG-BANG MYSTERY BOX,11.0,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
PAD GA-POW (THAI CHILI BASIL),10.45,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
PAD THAI,10.45,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
PAD SI-EW,10.45,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
THAI FRIED RICE,9.45,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
1/4 CHICKEN,5.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
1/2 CHICKEN,7.95,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
WHOLE CHICKEN,13.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
PORK RIBS (3 PCS),5.95,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
WHOLE RACK,14.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
FRENCH FRIES,3.0,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED RICE,3.0,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
SWEET AND SOUR CUCUMBER RED ONION,3.0,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
SMOKE BBQ BEAN,3.0,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
RICE AND BEANS,3.0,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
COUNTRY STYLE CHICKEN SOUP,3.0,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
FRANKIE MACARONI THAI,3.0,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
SWEET CHILI GLAZE,0.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
SMOKE BARBECUE,0.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
CHIPOTLE MAYONNAISE,0.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY LIME SAUCE,0.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
SWEET AND SOUR PLUM SAUCE,0.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
AQUAFINA WATER,1.75,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
PEPSI,2.25,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
DIET PEPSI,2.25,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
ORANGE CRUSH,2.25,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
MTN DEW,2.25,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
ROOT BEER,2.25,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
PURE LEAF UNSWEETENED,2.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
PURE LEAF SWEET TEA,2.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
LIPTON LEMON ICE TEA,1.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
LIPTON HALF AND HALF ICE TEA & LEMONADE,1.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
TROPICANA ORANGE JUICE,2.25,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
THAI TEA,2.99,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
THAI COFFEE,2.99,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
COCONUT WATER,1.95,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
STRAWBERRY KAMUNE,2.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
RED BULL-SUGAR FREE,2.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
JARRITOS LIME,1.75,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
JARRITOS PINEAPPLE,1.75,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
COMBO ¼ CHICKEN AND RIBS,10.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
MEAL 3 PCS RIBS,7.95,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
MEAL ¼ CHICKEN,7.5,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
MEAL ½ CHICKEN,9.95,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
WHOLE CHICKEN MEAL,18.95,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
WHOLE RACK MEAL,19.95,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
COMBO ½ CHICKEN AND RIBS,12.95,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
CHILI B B - CHICKEN,9.95,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
MYSTERY BOX,11.0,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
THAI COCONUT GREEN CURRY CHICKEN,11.95,,BANG BANG ROTISSERIE,"UBEREATS, HOUSTON, TX",,,,,,,
