name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BOMBA RICE,38.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
SALT CURED SPANISH COD (BACALAO),36.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
HAM CROQUETTES (SPANISH IBÉRICO),16.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
"A SELECTION OF SPANISH CHEESES, QUINCE, AND WILD BERRIES",22.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
SPANISH OCTOPUS (PULPO A LA GALLEGA),26.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
MANZANILLA OLIVES FROM SPAIN,8.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
CRISPY BABY ARTICHOKES WITH ROMESCO SAUCE,12.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
FRESH PICKLED ANCHOVIES,17.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
ANCHOVIES FROM THE CANTABRICO SEA,19.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
HAM (SPANISH IBÉRICO) AND TOASTED (PA AMB TOMACA),36.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
FRISEE AND BABY GREENS SALAD,16.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
SAUTEED GREEN PEAS,16.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
GIN MARINATED SMOKED SALMON CARPACCIO,17.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
BURRATA SALAD,19.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
ROASTED BEETS SALAD,15.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
PRAWN AND AVOCADO,19.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
SMOKY ROASTED EGGPLANT,17.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
FRESH GAZPACHO WITH BASIL LEAVES AND FRUIT,15.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
"FISHERMAN’S SOUP WITH BRANZINO, SHRIMP AND GARLIC CROUTONS",21.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
"CALÇOT SOUP WITH ROMESCO, CROUTONS AND CHARCOAL OIL",16.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED SALMON,36.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
ROASTED FIDEO PASTA (FIDEUA),38.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
"SQUAB IN TWO TEXTURES, PORCINI RICE WITH SAUTÉED ARTICHOKES",32.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
SOUS VIDE RABBIT LOIN,38.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED FILET MIGNON (8 OZ),19.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
SPANISH NOODLES (FIDEOS A LA CAZUELA),38.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
LEMON TART TOPPED WITH MERINGUE,12.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
TARTA DE SANTIAGO,15.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
CRISPY FILLO DOUGH,12.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
GYPSY’S ARM,12.0,,BCN TASTE & TRADITION,"UBEREATS, HOUSTON, TX",,,,,,,
