name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SHRIMP WITH MIXED VEGETABLES,12.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
CASHEW SHRIMP,12.75,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
KUNG PAO SHRIMP,12.75,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP AND SCALLOP WITH BLACK BEAN SAUCE,12.75,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
HUNAN SHRIMP,12.75,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
VEGETABLE EGG ROLL,3.25,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
PORK EGG ROLL,4.25,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
FRENCH FRIES,4.0,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
CREAM CHEESE PUFF,7.5,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN NUGGETS,4.9,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN NUGGETS WITH FRIES,6.65,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED JUMBO SHRIMP,7.25,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED JUMBO SHRIMP WITH FRIES,8.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
BBQ SPARE RIBS,9.5,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
BBQ ROAST PORK,8.75,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY WINGS,8.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
BUFFALO WINGS,8.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
STEAMED MEAT DUMPLING,7.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
STEAMED CHICKEN DUMPLING,7.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED CHICKEN DUMPLING,7.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
WONTON SOUP,2.25,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
EGG DROP SOUP,2.25,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
HOT AND SOUR SOUP,2.25,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
VEGETABLE SOUP,2.25,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
CRISPY NOODLE,1.15,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
WONTON DELUXE SOUP,7.5,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN CORN SOUP,7.75,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHANG'S ROLL,9.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
SHAGGY DOG ROLL,8.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
GENERAL TSO CHICKEN ROLL,9.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
MT FUJI ROLL,8.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
CRUNCHY ROLL,7.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
VOLCANO ROLL,0.0,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
CATERPILLAR ROLL,9.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
PINK LADY ROLL,9.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
AVENGERS ROLL,9.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
RICH DADDY,10.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
EX-WIFE,9.95,,CHANGS RAMEN,"UBEREATS, HOUSTON, TX",,,,,,,
