name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SEASONS BOWL,14.99,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
JACK STREET TACOS (3) + RICE & BEANS,14.99,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
VEGG CURRY BOWL,13.99,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SESAME VEGG QUINOA BOWL,13.99,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
HUMMUS AND VEGAN PITA BREAD,7.95,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SELECT HOW MANY UTENSIL PACKS YOU WILL NEED.,0.01,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY CABBAGE,8.95,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
GREEN DAY,11.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
MR. CRISPY (CONTAINS NUTS),11.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
MIXED GREENS SALAD,5.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SAUTÉED GARLICKY KALE,4.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BALSAMIC GLAZED BRUSSELS SPROUTS,4.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BLACK BEANS,3.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
VEGAN HERB RICE,3.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BROWN RICE,3.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SIDE OF VEGAN PITA BREAD,3.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SIDE OF SMOKED JACKFRUIT,5.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
OZARKA BOTTLED WATER,1.95,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SAN PELLEGRINO SPARKLING WATER,3.25,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
TOPO CHICO SPARKLING WATER,2.99,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
MINT LIMEADE,4.49,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
HIBISCUS TEA,4.49,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
WARM CHOCOLATE CHIP COOKIE (1),3.75,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
6 WARM CHOCOLATE CHIP COOKIES,12.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
DOZEN WARM CHOCOLATE CHIP COOKIES (12),21.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
WARM PEANUT BUTTER COOKIE (1),3.75,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
6 WARM PEANUT BUTTER COOKIES,12.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
DOZEN WARM PEANUT BUTTER COOKIES (12),21.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
WARM OATMEAL COOKIE ( 1),3.75,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
6 WARM OATMEAL COOKIES (6),12.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
DOZEN WARM OATMEAL COOKIES (12),21.97,,CLEAN VEGG KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
