name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
PHO BEEF (LARGE),11.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
EGG ROLLS (FOUR),6.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
COFFEE MILK TEA,6.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
TARO FRESH MILK,6.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED PORK VERMICELLI,9.99,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN AND SHRIMP SPRING ROLLS (TWO),5.65,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED PORK SPRING ROLLS (TWO),5.65,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE ROLLS (FOUR),5.65,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
POPCORN CHICKEN,6.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
VEGGIE EGG ROLLS (FOUR),6.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
PHO CHICKEN (LARGE),11.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
PHO MEAT BALL (LARGE),11.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
PHO VEGGIE (LARGE),11.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
PHO SHRIMP (LARGE),12.5,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
PHO BEEF AND MEAT BALL (LARGE),12.5,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
PHO CHICKEN AND VEGGIE (LARGE),12.5,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
PHO SPECIAL MIX (LARGE),12.5,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED PORK SANDWICH,7.5,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED CHICKEN SANDWICH,7.5,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED CHICKEN RICE,9.99,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED CHICKEN VERMICELLI,9.99,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED PORK RICE,9.99,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE AVOCADO,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE BANANA,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE BLUEBERRY,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE COCONUT,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE COOKIE AND CREAM,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE GREEN APPLE,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE HONEYDEW,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE LYCHEE,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE MANGO,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE MATCHA GREEN TEA,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE RASPBERRY,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE RED VELVET,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE STRAWBERRY,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE STRAWBERRY BANANA,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE STRAWBERRY MANGO,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE TARO,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE VANILLA,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE WATERMELON,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE COFFEE SLUSH,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE MILK TEA SLUSH,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE THAI TEA SLUSH,6.9,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
COKE,1.5,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
DIET COKE,1.5,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
SPRITE,1.5,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
BOTTLE WATER,1.5,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
ICE TEA,1.5,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
COCONUT FRESH MILK,6.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
MATCHA FRESH MILK,6.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
GREEN APPLE TEA,5.65,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
HIBISCUS TEA,5.65,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
HIBISCUS ROSE TEA,5.65,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
LYCHEE TEA,5.65,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
MANGO TEA,5.65,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
PASSION FRUIT TEA,5.65,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
PEACH TEA,5.65,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
RASPBERRY TEA,5.65,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
ROSE TEA,5.65,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
STRAWBERRY TEA,5.65,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
WINTER MELON TEA,5.65,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
MEMORIAL MILK TEA,6.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
BLACK MILK TEA,6.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
JASMINE MILK TEA,6.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
ROSE MILK TEA,6.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
THAI TEA,6.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
THAI GREEN MILK TEA,6.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
VIETNAMESE COFFEE,6.25,,PHOLICIOUS,"UBEREATS, HOUSTON, TX",,,,,,,
