name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SALMON AVOCADO ROLL,13.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
TUNA ROLL WITH GREEN CHILI AIOLI,13.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
HAMACHI & SERRANO CHILI ROLL,14.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
WAGYU BEEF AND KIMCHI DUMPLINGS,14.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
PRAWN TEMPURA & AVOCADO ROLL,13.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
ROKA FAMILY MEAL,38.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
JAPANESE WAGYU PACKAGE,99.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
CRISPY SQUID,10.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
STEAMED EDAMAME,6.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
LOBSTER AND SHRIMP DUMPLINGS,22.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SPICY FRIED TOFU,14.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP TEMPURA,16.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
ROBATA GRILLED PORK BELLY,16.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
ROBATA GRILLED SHISHITO PEPPERS,10.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
LOBSTER MISO SOUP,9.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SPICY EDAMAME,6.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
YELLOWTAIL SASHIMI,20.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
BEEF TATAKI,24.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
TORO TARTARE,25.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
ACADIAN SALAD,10.0,,ROKA AKOR (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
