name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
10 PC. CRISPY CHICKEN NUGGETS,4.1,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
10 PC. SPICY CHICKEN NUGGET,4.1,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
STRAWBERRY LEMONADE,2.69,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
SUMMER STRAWBERRY SALAD,8.8,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
CHILI,2.46,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
DAVE'S,8.92,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
BACONATOR®,11.27,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
CLASSIC CHICKEN SANDWICH COMBO,9.39,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED CHICKEN SANDWICH COMBO,9.39,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
SPICY CHICKEN SANDWICH COMBO,9.39,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
BIG BACON CLASSIC,10.21,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
PRETZEL BACON PUB CHEESEBURGER COMBO,10.33,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
BOURBON BACON CHEESEBURGER COMBO,9.98,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
ASIAGO RANCH CHICKEN CLUB COMBO,10.45,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
PRETZEL BACON PUB CHICKEN SANDWICH COMBO,10.68,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
JALAPEÑO POPPER CHICKEN SANDWICH COMBO,10.45,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
"2 SPICY CHICKENS, 2 JBCS & 4 SM FRIES",17.63,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
BOURBON BACON CHEESEBURGER,6.8,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
BOURBON BACON CHEESEBURGER DOUBLE,8.21,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
BOURBON BACON CHEESEBURGER TRIPLE,9.51,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
PRETZEL BACON PUB CHEESEBURGER,6.92,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
PRETZEL BACON PUB DOUBLE,8.21,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
PRETZEL BACON PUB TRIPLE,9.51,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
DAVE'S SINGLE®,5.51,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
DAVE'S DOUBLE®,6.92,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
DAVE'S TRIPLE®,8.21,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
SON OF BACONATOR®,5.86,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
BIG BACON CLASSIC DOUBLE,7.98,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
BIG BACON CLASSIC TRIPLE,9.15,,WENDY'S (3910 OLD SPANISH TRL),"UBEREATS, HOUSTON, TX",,,,,,,
