name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BAKERS DOZEN,15.0,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
FRESH CREAM CHEESE (8 OZ),4.99,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
THE STANDARD SANDWICH,12.45,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
COLD BREW COFFEE,3.65,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
BAGEL WITH PLAIN CREAM CHEESE,3.5,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
FRESH CREAM (4 OZ),2.59,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
FRESH CREAM CHEESE CHOLEV YISROEL (8 OZ),6.99,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
J & J REDUCE FAT CREAM CHEESE (1 OZ),1.0,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
VEGAN TOFUTTI CREAM CHEESE,4.75,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
VEGAN PLANT BASED CREAM CHEESE,4.75,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
WHITE FISH SALAD (7 OZ),7.99,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
CHOPPED HERRING SALAD (7 OZ),6.99,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
BAKED SALMON SALAD (7 OZ),7.99,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
NOVA,8.99,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
BELLY LOX (3 OZ),7.99,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
PASTRAMI NOVA (4 OZ),9.99,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
EGG SALAD (8 OZ),4.0,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
TUNA SALAD (8 OZ),6.99,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
CHALLAH,5.0,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
CHALLAH ROLLS,0.9,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
CHALLAH RAISIN ROLLS,1.25,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
SINGLE BAGELS,1.5,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
DOZEN COCKTAIL,9.5,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
COCKTAIL BAGEL,0.9,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
NY UPPER WEST SIDE COFFEE,3.0,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
SOUTHERN PECAN COFFEE,3.25,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
HAZELNUT COFFEE,3.25,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
LATTE ESPRESSO,3.85,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
CAPPUCCINO,3.85,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
MACCHIATO,3.85,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
MOCHA,4.15,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
AMERICANO,2.85,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
EXTRA SHOTS OF ESPRESSO,1.0,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
FOUNTAIN DRINK,2.25,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
HOT CHOCOLATE,3.25,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
BRODIES ICED TEA,2.65,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
"TAZO HOT TEA, LIPTON DECAF, & LIPTON GREEN TEA",2.65,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
BREAKFAST BAGEL SANDWICH,9.95,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
AVOCADO TOAST,9.95,,BAGEL SHOP BAKERY (BELLAIRE),"UBEREATS, HOUSTON, TX",,,,,,,
