name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FULL BAKED POTATO W/ MEAT,13.5,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
DINNER PLATE WITH 2 MEATS,19.75,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
1/2 POUND SMOKED SAUSAGE (SERVED W/ BBQ SAUCE UNLESS OTHERWISE REQUESTED),10.95,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
DINNER PLATE WITH 3 MEATS,23.75,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
ANNA BANANA PUDDING,5.5,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
SIDE SALAD,4.5,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE SALAD,8.5,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE SALAD WITH MEAT,12.95,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
SANDWICH,8.95,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
RIB OR SLICED BEEF SANDWICH,9.95,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
DEVON SANDWICH,10.25,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
SIDE ORDER OF RICE & BEANS,4.5,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
BOWL OF RICE & BEANS (16 OZ),7.75,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
JEFF SPECIAL,13.25,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
TONY SPECIAL,13.25,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
SHANE SPECIAL,13.25,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
RICE & BEANS TOPPED W/ PULLED PORK,13.25,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
RICE & BEANS TOPPED W/ SMOKED HAM,13.25,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
JEFF SPECIAL (MILD SAUSAGE),13.25,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
RICE & BEANS TOPPED W/ SMOKED TURKEY BREAST,13.25,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
DINNER PLATE WITH 1 MEAT,17.75,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
DINNER PLATE WITH 4 MEAT,27.75,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
FULL POUND SLICED BRISKET (SERVED W/ BBQ SAUCE UNLESS OTHERWISE REQUESTED),22.25,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
FULL POUND PORK RIBS (SERVED W/ BBQ SAUCE UNLESS OTHERWISE REQUESTED),21.5,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
FULL POUND SMOKED HAM (SERVED W/ BBQ SAUCE UNLESS OTHERWISE REQUESTED),20.25,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
FULL POUND SMOKED TURKEY (SERVED W/ BBQ SAUCE UNLESS OTHERWISE REQUESTED),20.25,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
FULL POUND CHICKEN BREAST (SERVED W/ BBQ SAUCE UNLESS OTHERWISE REQUESTED),20.25,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
FULL POUND SMOKED SAUSAGE (SERVED W/ BBQ SAUCE UNLESS OTHERWISE REQUESTED),20.25,,CENTRAL TEXAS STYLE BBQ,"UBEREATS, HOUSTON, TX",,,,,,,
