name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
JOLLOF RICE,12.99,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SUYA,13.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
ASUN,14.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED FISH,15.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
EGUSI WITH ASSORTED,14.99,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED RICE,15.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
YAM PORRIDGE,14.99,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
EWA AGOYIN,12.99,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MOI MOI,5.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SWALLOW,2.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED BIG HEN,25.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BIG MOIMOI,10.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
PORRIDGE BEANS,12.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
EXTRA PLANTAIN,3.5,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED MACKEREL FISH WITH RICE,15.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
EFO RIRO WITH ASSORTED,14.99,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED YAM WITH STEW,15.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
FRIES WITH EGG,14.99,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
PLAINTAIN WITH EGG,14.99,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
YAM WITH EGG,15.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
GBEGIRI AND EWEDU,14.99,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
DESIGNER STEW WITH RICE,15.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
PEPPER SOUP,13.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
OKRO SOUP,14.99,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
GOAT MEAT STEW,14.99,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
EGUSI WITH GOAT MEAT,16.99,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
EFO RIRO/VEGETABLE WITH GOATMEAT,16.99,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CAT FISH PEPPER SOUP,15.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
ASSORTED,2.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED CHICKEN,15.99,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SNAIL,30.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
GOAT MEAT (1 PC),3.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF (1 PC),3.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
COKE,2.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MALT,3.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CRANBERRY,5.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
FANTA DRINKS,3.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MONSTER ENERGY DRINKS,5.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
RED BULL,5.0,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SNAPPLE,4.99,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
ARIZONA,2.99,,CHEFBENNY AFRICAN RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
