name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN WITH BROCCOLI,11.75,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
BBQ SPARE RIBS (6 PCS),11.95,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SWEET AND SOUR SHRIMP,12.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SEAFOOD DELIGHT,12.75,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP WITH BROCCOLI,11.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
EGG ROLL (1 PC),1.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
HOUSE FRIED CHICKEN WINGS (6 PCS),6.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE PUFFS (8 PCS),6.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP TEMPURA (4 PCS),5.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
DUMPLINGS (8 PCS),7.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
TIDBIT PLATTER,7.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
WONTON SOUP,2.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
HOT AND SOUR SOUP,2.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
EGG DROP SOUP,2.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
VEGETABLES SOUP,2.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
VELVET CHICKEN CORN SOUP (FOR 2),6.95,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
HOUSE SPECIAL SOUP (FOR 2),7.95,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
STEAMED CHICKEN WITH VEGETABLES,11.75,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
STEAMED CHICKEN WITH BROCCOLI,11.75,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
STEAMED CHICKEN WITH SNOW PEAS,11.75,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
STEAMED SHRIMP WITH VEGETABLES,12.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
STEAMED SHRIMP WITH BROCCOLI,12.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
STEAMED SHRIMP WITH SNOW PEAS,12.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
STEAMED MIX VEGETABLES,10.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
MIXED VEGETABLES,10.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
BROCCOLI WITH GARLIC SAUCE,10.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
HOME STYLE BEAN CURD,12.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SAUTEED SPICY GREEN BEANS,10.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
GENERAL TSO'S CHICKEN,13.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SESAME CHICKEN,13.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
ORANGE FLAVORED CHICKEN,13.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
ORANGE FLAVORED BEEF,13.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SESAME BEEF,13.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
ORANGE FLAVORED SHRIMP,13.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SESAME SHRIMP,13.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SEAFOOD WITH CRISPY SIZZLING RICE,13.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
HAPPY FAMILY,13.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
HUNAN DELIGHT,13.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
DOUBLE FRIED CHICKEN WING,13.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
TERIYAKI CHICKEN,13.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
TERIYAKI BEEF,13.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
KUNG PAO SHRIMP,12.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP WITH CASHEW NUTS,12.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
STIR-FRIED GREEN BEAN WITH SHRIMP,12.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP WITH LOBSTER SAUCE,12.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP WITH VEGETABLES,12.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP WITH SNOW PEAS,12.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
HUNAN SHRIMP,12.5,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SWEET AND SOUR CHICKEN,11.75,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
MOO GOO GAI PAN,11.75,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
LEMON CHICKEN,11.75,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SALT AND PEPPER CHICKEN,13.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
FRIED CRACKER CHICKEN,11.75,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
KUNG PAO CHICKEN,12.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
CASHEW NUTS CHICKEN,12.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SAUTEED SPICY GREEN BEAN WITH CHICKEN,11.75,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
JALAPENO CHICKEN,11.75,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN WITH SNOW PEAS,11.75,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
HUNAN CHICKEN,11.75,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
PINEAPPLE CHICKEN,11.75,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
DOUBLE MUSHROOM CHICKEN,11.75,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
PEPPER STEAK,12.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
BEEF WITH VEGETABLES,12.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
JALAPENO BEEF,12.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
BEEF WITH BROCCOLI,12.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SZECHUAN BEEF,12.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
BEEF WITH SNOW PEAS,12.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
HUNAN BEEF,12.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
MONGOLIAN BEEF,12.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SAUTEED SPICY GREEN BEAN WITH BEEF,12.25,,CHINA HOUSE (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
