name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
VALUE PACK 3,15.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
SPINACH ALFREDO GIANT PIZZA,11.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
ZESTY PEPPERONI GIANT PIZZA,11.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
VALUE PACK 2,9.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
ALFREDO GIANT PIZZA,11.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
5 WINGS,4.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
10 WINGS,8.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
20 WINGS,16.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
CINNAMON ROLLS 20CT,4.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
FUDGE BROWNIES 24CT,4.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE BREAD (24),4.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
VALUE PACK 1,19.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
VALUE PACK 4,20.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
VALUE PACK 5,28.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE FLATBREAD PIZZA,6.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
1-TOPPING FLATBREAD PIZZA,6.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
FLATBREAD SPINACH ALFREDO PIZZA,7.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
FLATBREAD BUFFALO CHICKEN PIZZA,7.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
FLATBREAD MACARONI AND CHEESE PIZZA,7.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
FLATBREAD ALFREDO PIZZA,7.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
FLATBREAD CLASSIC CHICKEN PIZZA,7.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
FLATBREAD ZESTY HAM & CHEDDAR PIZZA,7.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
FLATBREAD ZESTY PEPPERONI PIZZA,7.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
FLATBREAD VEGGIE PIZZA,10.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
FLATBREAD ZESTY VEGGIE PIZZA,10.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
FLATBREAD MEAT EATER PIZZA,10.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
FLATBREAD SUPREME PIZZA,10.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
FLATBREAD HONEY BBQ CHICKEN PIZZA,7.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
FLATBREAD BACON CHICKEN RANCH PIZZA,7.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
ONE TOPPING GIANT PIZZA,10.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
HAWAIIAN GIANT PIZZA,11.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
BUFFALO CHICKEN GIANT PIZZA,11.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
BBQ CHICKEN GIANT PIZZA,12.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
BBQ PORK GIANT PIZZA,11.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
MACARONI AND CHEESE GIANT PIZZA,11.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
CLASSIC CHICKEN GIANT PIZZA,12.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
BACON CLUB GIANT PIZZA,12.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
ZESTY HAM AND CHEDDAR GIANT PIZZA,12.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
OLE GIANT PIZZA,12.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
VEGGIE GIANT PIZZA,13.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
ZESTY VEGGIE GIANT PIZZA,13.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
MEAT EATER GIANT PIZZA,13.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
SUPREME GIANT PIZZA,13.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
SOFT DRINK,0.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
ICED TEA,0.99,,CICIS PIZZA (750 GULFGATE CENTER MALL ),"UBEREATS, HOUSTON, TX",,,,,,,
