name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SOUTHERN FRIED CHICKEN,14.29,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
DOUBLE CHOCOLATE FUDGE COCA-COLA® CAKE,5.19,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
BUTTERMILK PANCAKES WITH 100% PURE NATURAL SYRUP,9.74,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
THE BARREL CHEESEBURGER WITH BACON,12.99,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN POT PIE,11.69,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
DOUBLE MEAT BREAKFAST,11.69,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
COUNTRY MORNING BREAKFAST,9.09,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
MEAT BISCUITS N' HASHBROWN CASSEROLE OR FRIED APPLES,7.14,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
"HASHBROWN CASSEROLE, FRIED APPLES N' BISCUIT",6.49,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
TWO EGGS N' BISCUITS,6.49,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
WILD MAINE BLUEBERRY PANCAKES,10.39,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
PECAN PANCAKES,10.39,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
GRAVY N' BISCUITS,5.58,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
COARSE GROUND GRITS,2.59,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
SAWMILL GRAVY,2.59,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
SMOKED SAUSAGE PATTIES,4.67,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
THICK-SLICED BACON,4.67,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
COUNTRY HAM,8.05,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
"TWO EGGS, ANY WAY YOU LIKE 'EM",3.89,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
SUNDAY HOMESTYLE CHICKEN®,14.03,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
SWEET N' SMOKY GLAZED TENDERS,12.34,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED SIRLOIN STEAK,17.54,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
LEMON PEPPER GRILLED RAINBOW TROUT,14.16,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
COUNTRY FRIED SHRIMP,14.03,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
COUNTRY VEGETABLE PLATE,10.39,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
BISCUIT BEIGNETS,5.19,,CRACKER BARREL OLD COUNTRY STORE (11019 SHADOW CREEK PKWY),"UBEREATS, HOUSTON, TX",,,,,,,
