name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FRIED MUSHROOMS,6.99,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
CHILI CHEESE FRIES,6.99,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
DOLLIES SIGNATURE BURGER,11.5,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
BERRY BERRY LEMONADE,3.0,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
CHICK'N FRIED STEAK BURGER,11.5,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
DOLLIES HOUSE SALAD,10.98,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
"BLT ( BACON, LETTUCE, AND TOMATOES)",7.99,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
CLASSIC BURGER,9.98,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
DOLLIES BACON BURGER,10.98,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
MUSHROOM ONION BURGER,10.98,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
CHILI CHEESE BURGER,10.98,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
CHICK'N FRIED STEAK CLUB,11.5,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
CHILI 16OZ,3.99,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
FRIES,2.5,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
DR. PEPPER,2.5,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
COCA-COLA,2.5,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
TOPO-CHICO MINERAL WATER,2.5,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
BOTTLE OF SPRING WATER,1.0,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
PEACH MANGO LEMONADE,3.0,,DOLLIES VEGAN BISTRO,"UBEREATS, HOUSTON, TX",,,,,,,
