name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TOLLHOUSE CRUNCH,7.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
NOT FRIED CHICKEN,11.5,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
OMELET,10.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
FIORENZA,12.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
BRAVO SALMON,14.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
EMPIRE LETTUCE WRAPS,9.5,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
SPINACH & ARTICHOKE DIP,8.5,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
ROASTED RED PEPPER HUMMUS,8.75,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
AVOCADO BRUSCHETTA BITES,8.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
MIXED GREEN SALAD,4.25,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
FRESH SEASONAL FRUIT PLATTER,9.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
CAESAR SALAD,9.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
MINESTRONE SOUP,4.5,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
SOUTHWESTERN GRILLED CHICKEN SALAD,10.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
ALMOND CHICKEN SALAD,10.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
EMPIRE CHICKEN SALAD,10.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
EMPIRE CHICKEN SALAD WRAP WITH SALAD,10.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
PORTABELLA,10.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
EMPIRE TURKEY CLUB,11.5,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
CHEESEBURGER,12.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
MARGARITA WITH TRADITIONAL CRUST,10.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
HAWAIIAN SUNRISE,11.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
CREATE YOUR OWN PIZZA,11.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
BUFFALO PIZZA,11.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
AMERICANO,11.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
BBQ CHICKEN,11.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
THE MEDITERRANEAN,11.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
ALFREDO,11.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
MEAT & CHEESE DELUXE,11.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
TEXAS RANCH,11.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
NUTTY CHICKEN,11.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
EGGPLANT PARMESAN,13.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN PARMESAN,13.95,,EMPIRE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
