name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CREATE YOUR OWN PASTA,9.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
TIRAMISU,5.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
LASAGNA ALLA BOLOGNESE,13.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
MARGHERITA PIZZA,7.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
RAVIOLI RICOTTA E SPINACH,12.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
BURRATA ALLA SALENTINA,18.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED MEDITERRANEAN OCTOPUS,16.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
CARPACCIO,16.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
MINESTRONE,4.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
MANHATTAN CLAM CHOWDER,5.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
UMBRIA LENTIL,4.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
GAZPACHO,4.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
HOUSE SALAD,3.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
CAESAR SALAD,3.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
ARUGULA AND QUINOA SALAD,4.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
PEPPERONI PIZZA,8.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
SAUSAGE PIZZA,8.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
FREDDA PIZZA,10.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
EGGPLANT PARMIGIANA WITH SIDE SPAGHETTI,13.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
SAUTEED CHICKEN MARENGO WITH SIDE SPAGHETTI,14.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
TAGLIOLINI VERDURE E GAMBERI,14.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
LINGUINE ALLA VONGOLE,16.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
TAGLIATELLE WITH TEXAS RAISED LAMB SAUCE,14.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
SOFT DRINKS,2.25,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
FRESH BREWED ICE TEA,3.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
SAN BENEDETTO ITALIAN BOTTLE WATER,1.5,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
SAN PELLEGRINO ITALIAN SPARKLING WATER,3.5,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
SAN PELLEGRINO ITALIAN SPARKLING,3.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
AMERICANO AND ESPRESSO,3.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
CAPPUCCINO AND LATTE,5.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
ALMOND TORTA,5.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
CANNOLI,5.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
TORTA DI CHOCOLATE,5.0,,FRESCO CAFE ITALIANO,"UBEREATS, HOUSTON, TX",,,,,,,
