name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BAR-B-QUE BAKED,11.5,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
PEACH COBBLER,3.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
GRANDMA'S BANANA PUDDING,3.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
HOMEMADE SAUSAGE,4.5,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
BRISKET,4.5,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
OXTAIL ON A BED OF RICE,18.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
"FARMER'S SUPPER (4 MEATS:BEEF, LINKS, HAM, AND RIBS)",17.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
"MIXED DINNER (3 MEATS:BEEF, LINKS, AND RIBS)",16.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
MIXED DINNER,15.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
PORK RIBS,15.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF RIBS,15.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
HOMEMADE SAUSAGE (ALL BEEF AND SPICY),15.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF,15.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
SMOKED HAM,12.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
SMOKED TURKEY BREAST,12.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
LINK (MILD),12.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
PULLED PORK,12.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
HALF SMOKED CHICKEN,12.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN FRIED STEAK,12.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
FISH FILLET (LARGE 1),12.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
SEAFOOD DINNER,14.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP DINNER,14.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
MARINATED GRILLED CHICKEN,12.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
VEGETABLE PLATE,9.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
"FARMER'S SUPPER (4 MEATS: BEEF, LINKS, HAM, AND RIBS)",16.5,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
"MIXED DINNER (3 MEATS: BEEF, LINKS, AND RIBS)",15.5,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF (SLICED OR CHOPPED),14.5,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
HALF CHICKEN,8.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
HUNGRY FARMER BURGER,13.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
HALF POUND BURGER,8.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
MARINATED GRILLED CHICKEN BURGER,8.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN FRIED STEAK BURGER,8.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF SANDWICH,8.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
HOMEMADE SAUSAGE SANDWICH (SPICY ALL BEEF),8.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
PULLED PORK SANDWICH,7.95,,HUNGRY FARMER BAR-B-Q,"UBEREATS, HOUSTON, TX",,,,,,,
