name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SMOKED BRISKET PHO,17.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
'BO LUC LAC' SHAKING BEEF,20.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
TRUFFLE WAGYU PHO,28.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SOUTHERN BUN BO XAO,15.5,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CRUDO,14.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
KAUBACCIO,14.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
PHILS FAVORITE,13.5,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED SCALLOPS,13.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
HAPPY SALAD,14.5,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
VIETNAMESE PIZZA,10.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
DUCK SALAD,16.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
PHO SIZZLE,28.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SUNSET RIBS,17.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN WANGZ,14.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHEF FRIED RICE,14.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SAIGON SUNRISE,17.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
GRANDMA'S SUBSIDY,10.5,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
TRUFFLE WAGYU BANH CUON,21.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SEAFOOD VIEJUN,38.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
COMBINATION PHO,12.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
PHO GA,12.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BUN THIT NUONG,15.5,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
MI CHAY,14.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SMOKED CHICKEN PHO,13.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
F.O.B,11.5,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
TAMARIND SHRIMP,11.5,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BETEL BEEF,10.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SNAILS,13.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHEFS ROLLS,9.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
HOMEMADE DUMPLINGS,9.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BRUSSEL SPROUTS,9.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
STREET EGG ROLLS,9.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
HOUSE SALAD,6.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
LEMONGRASS PORK SKEWERS,8.0,,KAU BA SAIGON KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
