name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CRUNCHY CHICKEN SANDWICH,15.0,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
GARDEN SAMMIE SANDWICH,12.75,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE CHIP COOKIE,3.0,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SUMMER HARVEST SALAD,14.5,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
WATERMELON LEMONADE,4.25,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
CASHEW QUESO,10.5,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
AVOCADO BLT SANDWICH,17.25,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
BANH MI SANDWICH,15.0,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
GULF SEAFOOD SANDWICH,16.25,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
HOUSE CURED AND SMOKED SALMON SANDWICH,16.25,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
TRUFFLED EGG SALAD SANDWICH,12.75,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
CUCUMBER SALAD,2.5,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
HOUSEMADE CHIPS,2.5,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
LOCAL FRUIT,2.5,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
PICKLE SPEARS,2.5,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
RED POTATO SALAD,2.5,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
SAVORY GRANOLA,2.5,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
TUSCAN KALE,2.5,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
OUR CLASSIC CHICKEN POSOLE,4.25,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
CHILLED SUMMER SQUASH SOUP,4.25,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
ASIAN CHICKEN SALAD,15.0,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
TACO SALAD,15.75,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
HONEY ICED COFFEE,5.25,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
KATZ COLD BREW NITRO DRAFT,5.25,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
ICED BLACK TEA,3.5,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
ICED GREEN TEA,3.5,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
PAT GREER'S KOMBUCHA,5.25,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
MEXICAN COKE,3.5,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
ST. ARNOLD ROOT BEER,3.5,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
VEGAN CARROT CUPCAKE,4.75,,LOCAL FOODS (HOUSTON),"UBEREATS, HOUSTON, TX",,,,,,,
