name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
DRAGON ROLL,17.5,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
PHILADELPHIA ROLL,12.0,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
TIGER ROLL,18.0,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
TIGER EYE ROLL,12.6,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
PHOENIX ROLL,18.5,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
SUSHI/SASHIMI COMBINATION,39.55,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
CHIRASHI,29.95,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
ASSORT SUSHI SPECIAL,27.55,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
MAKI MONO COMBINATION,27.55,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
HAND ROLL COMBINATION,27.55,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
ASSORT SUSHI,23.95,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
HAMACHI KAMA,20.35,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
GINDARA MISO,20.35,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF TATAKI,20.35,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF NEGIMAYAKI,16.75,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
SOFT SHELLED CRAB,15.55,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP OBA TEMPURA,14.35,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
HOTATE BUTTER,11.95,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
TATSUTA AGE FRIED BEEF,11.95,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
BAKED MUSSELS,10.75,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
CALAMARI,10.75,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
SHITAKE HASAMI AGE,10.45,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF YAKITORI,9.55,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
KAKI FRY,8.35,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
TATSUTA AGE FRIED CHICKEN,7.8,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY WINGS TEMPURA,7.25,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
STEAMED SHRIMP SPRING ROLL,7.25,,OSAKA JAPANESE RESTAURANT AT WESTHEIMER,"UBEREATS, HOUSTON, TX",,,,,,,
