name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
GARLIC SHOUYU WITH GLUTEN FREE NOODLE,12.5,,OSHINO (1801 DURHAM DR),"UBEREATS, HOUSTON, TX",,,,,,,
SPICY GARLIC VEGAN,11.95,,OSHINO (1801 DURHAM DR),"UBEREATS, HOUSTON, TX",,,,,,,
KETO SPICY SHOUYU TONKOTSU,13.5,,OSHINO (1801 DURHAM DR),"UBEREATS, HOUSTON, TX",,,,,,,
VEGAN MISO STIR FRY,11.95,,OSHINO (1801 DURHAM DR),"UBEREATS, HOUSTON, TX",,,,,,,
KETO TONKOTSU,11.95,,OSHINO (1801 DURHAM DR),"UBEREATS, HOUSTON, TX",,,,,,,
VEGAN GYOZAS,5.95,,OSHINO (1801 DURHAM DR),"UBEREATS, HOUSTON, TX",,,,,,,
KOROKKE,4.75,,OSHINO (1801 DURHAM DR),"UBEREATS, HOUSTON, TX",,,,,,,
SPICY FRIED TOFU RICE BOWL,11.75,,OSHINO (1801 DURHAM DR),"UBEREATS, HOUSTON, TX",,,,,,,
SPICY MISO VEGAN,11.75,,OSHINO (1801 DURHAM DR),"UBEREATS, HOUSTON, TX",,,,,,,
SHOUYU TONKOTSU WITH GLUTEN FREE NOODLE,11.75,,OSHINO (1801 DURHAM DR),"UBEREATS, HOUSTON, TX",,,,,,,
