name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
RIBEYE,24.18,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
VICTORIA'S FILET® MIGNON,23.08,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
OUTBACK CENTER-CUT SIRLOIN,19.78,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
STEAKHOUSE MAC & CHEESE,5.49,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
BONE-IN RIBEYE 18OZ,30.78,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
BLOOMIN' ONION®,8.78,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
AUSSIE CHEESE FRIES,9.88,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
KOOKABURRA WINGS®,13.18,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
GRILLED SHRIMP ON THE BARBIE,12.08,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
SYDNEY 'SHROOMS,7.68,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
SEARED PEPPERED AHI,15.93,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
GOLD COAST COCONUT SHRIMP,12.08,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
THREE CHEESE STEAK DIP,13.18,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
OUTBACK STYLE PRIME RIB,25.28,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
NEW! BONE-IN NEW YORK STRIP 16OZ,27.48,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
SIRLOIN & COCONUT SHRIMP,19.78,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
SIRLOIN & GRILLED CHICKEN,21.43,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
RIBEYE & GRILLED SHRIMP ON THE BARBIE,30.23,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
RIBEYE & GOLD COAST COCONUT SHRIMP,30.23,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
FILET MIGNON & LOBSTER,32.98,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
NEW! BLOOMIN' FRIED CHICKEN,17.58,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
NEW! PINEAPPLE & PORK MEDALLIONS,17.58,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
GRILLED CHICKEN ON THE BARBIE,14.28,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN TENDER PLATTER,15.38,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
QUEENSLAND CHICKEN & SHRIMP PASTA,14.83,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
ALICE SPRINGS CHICKEN®,17.58,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
TOOWOOMBA SALMON,25.28,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
NEW! GRILLED SHRIMP ON THE BARBIE,21.99,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
PERFECTLY GRILLED SALMON,21.98,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
LOBSTER TAILS,31.88,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
NEW! BLOOMIN' FRIED CHICKEN SANDWICH,14.28,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
SWEET CHOOK O' MINE SANDWICH,14.83,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
THE OUTBACK BURGER,13.18,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
THE BLOOMIN' BURGER®,14.83,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
NEW! PRIME RIB SANDWICH,15.93,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
AUSSIE COBB SALAD,13.18,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
BRISBANE CAESAR SALAD,12.08,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
STEAKHOUSE SALAD,17.59,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
HOUSE SALAD,4.38,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
CAESAR SALAD,4.38,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
BLUE CHEESE PECAN CHOPPED SALAD,5.48,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
BAKED POTATO SOUP,4.93,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
FRENCH ONION SOUP,7.68,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
HOMESTYLE MASHED POTATOES,3.83,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
BAKED POTATO,3.83,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
FRIES,3.83,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
SWEET POTATO,3.83,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
FRESH STEAMED SEASONAL VEGGIES,3.83,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
SEASONED RICE,3.84,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
CREAMED SPINACH,6.03,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
LOADED MASHED POTATOES,4.93,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
GRILLED ASPARAGUS,4.94,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE FONDUE FLIGHT,11.53,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE THUNDER FROM DOWN UNDER,9.88,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
BUTTER CAKE,7.68,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
TRIPLE-LAYER CARROT CAKE,9.88,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
CARAMEL COOKIE SKILLET,5.48,,"OUTBACK STEAKHOUSE (10001 WESTHEIMER ROAD, # 1010)","UBEREATS, HOUSTON, TX",,,,,,,
