name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SESAME CHICKEN,16.75,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
GENERAL TSO'S CHICKEN,14.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
ORANGE CHICKEN,14.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
KUNG PAO CHICKEN,14.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF BROCCOLI,16.75,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
HOT AND SOUR SOUP,2.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN VEG SOUP,8.0,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
REGULAR WONTON SOUP,2.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
HOUSE WONTON SOUP,8.0,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CORN SOUP,2.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
VEGGIE SOUP,6.0,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
PANDA SAMPLER,12.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED VEG EGG ROLLS (2 PCS),2.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED CHICKEN EGG ROLL (2 PCS),5.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
EDAMAME,4.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SEAWEED SALAD,4.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SESAME TOFU,7.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
MEAT DUMPLINGS,7.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
VEGGIE DUMPLINGS,7.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SZECHUAN DUMPLINGS,7.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN DUMPLINGS,7.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED CREAM CHEESE PUFFS,7.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
MOO SHU CHICKEN,16.75,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN TERIYAKI,16.75,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN GREEN BEANS,15.0,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CURRY CHICKEN,15.0,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN VEGGIE,15.0,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN BROCCOLI,15.0,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN WITH CASHEW NUTS,16.75,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN WITH GARLIC SAUCE,15.0,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY AND TANGY CHICKEN,15.0,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SWEET AND SOUR CHICKEN,15.0,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN WITH EGGPLANT,15.0,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
HUNAN CHICKEN,16.75,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
TSO CHICKEN,16.75,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
MONGOLIAN BEEF,16.75,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SESAME BEEF,18.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF ONION AND MUSHROOM,16.75,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
ORANGE BEEF,18.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
STEAM SHIMP VEG,18.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
RAINBOW SHRIMP,18.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP EGGPLANT,18.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP GARLIC SAUCE,18.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
HUNAN SHRIMP,18.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
HAPPY FAMILY,18.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
PANDA LO-MEIN,14.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN LO-MEIN,14.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF LO-MEIN,14.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP LO MEIN,14.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
VEG LO-MEIN,14.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
VEG FRIED RICE,14.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
PANDA FRIED RICE,14.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP FRIED RICE,14.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF FRIED RICE,14.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN FRIED RICE,14.5,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
STEAM SHRIMP VEG,18.25,,PANDA GARDEN,"UBEREATS, HOUSTON, TX",,,,,,,
