name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
MACHACADO CON HUEVO A LA MEXICANA,16.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
HUEVOS A LA ALBAÑIL (BRICKLAYER EGGS),14.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
HUEVOS REVUELTOS CON NOPALES AL GUAJILLO,14.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
HUEVOS A LA MEXICANA,14.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
HUEVOS CON CHORIZO Y JAMÓN O TOCINO,14.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CHILAQUILES TRADICIONALES,15.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MIXED BERRIES,9.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MIXED BERRY PARFAIT,9.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
TRADITIONAL PORK,8.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
TRADITIONAL CHICKEN,7.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
HUEVOS EN RABO DE MESTIZA,14.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
HUEVOS MOTULEÑOS,14.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BREAKFAST BURRITO,14.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
HUEVOS RANCHEROS,14.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
PAPAS CON HUEVOS Y CHORIZO,14.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MIGAS CON HUEVO Y CHORIZO,14.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
A LA MEXICANA,12.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
GRANNY J’S HOTCAKES,10.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BLUEBERRY,12.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE CHIP,12.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MOLE WITH FRIED EGG,7.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BREAKFAST SAUSAGE,5.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CHORIZO (MEXICAN SAUSAGE),4.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
BACON (TOCINO),5.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
HAM (JAMON),4.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
ROASTED POTATOES,5.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
REFRIED BEANS BLACK,5.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
TRADITIONAL JUICES,7.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CARROT JUICE,7.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
GREEN JUICE,8.0,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
AGUAS FRESCAS,6.5,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MEXICAN CANE SUGAR COKE (16.9 OZ),5.5,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SPRITE (16.9 OZ),5.5,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
ORANGE FANTA (16.9 OZ),5.5,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
AGUA DE PIEDRA (22 OZ),5.5,,PICO'S RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
