name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CREAMY LOBSTER RISOTTO,32.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP & GRITS,22.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN FRIED STEAK FINGERS,12.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED CHICKEN BREAST,12.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
44 FARMS CHICKEN-FRIED STEAK,20.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
SLOW SMOKED DUCK GUMBO,9.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
LOBSTER AND AVOCADO WEDGE,23.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
JUMBO LUMP CRAB CAKE,25.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
LODGE ROSTI POTATO WEDGES,9.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
LEAFY GREEN SALAD,9.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED CHICKEN SALAD,15.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
CAESAR SALAD,9.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
TEXAS COBB SALAD,15.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED TEXAS QUAIL BITES,15.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
BRAISED SHORT RIB AND CHEDDAR GRILLED CHEESE SANDWICH,13.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
TWO BUTTERMILK HOT CHICKEN SLIDERS,13.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
THE SEASON'S FRITTATA,16.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
BAR HASH AND EGGS,19.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
FIELD BREAKFAST,19.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
BRIOCHE FRENCH TOAST,15.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN JALAPENO SAUSAGE & EGG SCRAMBLE,16.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
BRAISED BUFFALO SHORT RIB “BENEDICT”,24.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
WILD GAME MIXED GRILL BREAKFAST,29.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
FUSILLI PASTA WITH WILD BOAR SAUSAGE CRUMBLES,16.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
ARTICHOKE CHICKEN,20.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
CRABMEAT OMELETTE,26.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
GULF “FISH AND CHIPS”,16.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
RAINBOW TROUT FILET WITH LUMP CRAB,29.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN FRIED VENISON CUTLETS,22.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
STEAK AND EGGS,26.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
WARM CROISSANT BREAD PUDDING,9.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
LEMON ICE BOX PIE,9.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE RASPBERRY TRUFFON PINECONE,9.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
WARM RUSTIC ALMOND APRICOT TART,9.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
PASSION FRUIT AND PISTACHIO MOUSSE CAKE,9.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
CRISPY CHICKEN STRIPS,12.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
"RUSTIC POTATO, BRUSSELS LEAVES AND ONION HASH FOR TWO",9.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
SMOKED GOUDA AND BLACK PEPPER ORZO,9.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY ROASTED BRUSSELS SPROUTS WITH GARLIC AND CALABRIAN CHILIES,9.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
"FOUR POTATO, GREEN CHILE AND CHEESE ENCHILADA WITH NM STYLE RED SAUCE",9.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
JALAPEÑO AND BACON STUDDED CHEDDAR GRITS,9.0,,RAINBOW LODGE,"UBEREATS, HOUSTON, TX",,,,,,,
