name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FROZEN CUSTARD COOKIE SANDWICHES,4.39,,RITA'S OF HOUSTON HEIGHTS,"UBEREATS, HOUSTON, TX",,,,,,,
FROZEN CUSTARD SUNDAE,5.39,,RITA'S OF HOUSTON HEIGHTS,"UBEREATS, HOUSTON, TX",,,,,,,
FROZEN CUSTARD OREO COOKIE SANDWICH,3.19,,RITA'S OF HOUSTON HEIGHTS,"UBEREATS, HOUSTON, TX",,,,,,,
GELATI,4.79,,RITA'S OF HOUSTON HEIGHTS,"UBEREATS, HOUSTON, TX",,,,,,,
FROZEN CUSTARD,5.79,,RITA'S OF HOUSTON HEIGHTS,"UBEREATS, HOUSTON, TX",,,,,,,
ITALIAN ICE,4.49,,RITA'S OF HOUSTON HEIGHTS,"UBEREATS, HOUSTON, TX",,,,,,,
SUNDAE,6.99,,RITA'S OF HOUSTON HEIGHTS,"UBEREATS, HOUSTON, TX",,,,,,,
PRE-PACKED PINTS,5.99,,RITA'S OF HOUSTON HEIGHTS,"UBEREATS, HOUSTON, TX",,,,,,,
BLENDINI,6.29,,RITA'S OF HOUSTON HEIGHTS,"UBEREATS, HOUSTON, TX",,,,,,,
MISTO® SHAKE,5.99,,RITA'S OF HOUSTON HEIGHTS,"UBEREATS, HOUSTON, TX",,,,,,,
FROZEN DRINK,3.99,,RITA'S OF HOUSTON HEIGHTS,"UBEREATS, HOUSTON, TX",,,,,,,
MILKSHAKE,6.79,,RITA'S OF HOUSTON HEIGHTS,"UBEREATS, HOUSTON, TX",,,,,,,
