name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHEESE PIZZA,15.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
1 TOPPING PIZZA,17.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
20 CHEESE PIZZA,22.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
2 TOPPINGS PIZZA,18.5,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
LASAGNA,13.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
1 TOPPING PIZZA BUNDLE,17.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE PIZZA BUNDLE,15.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
2 TOPPINGS PIZZA BUNDLE,18.5,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED CALAMARI,16.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED MOZZARELLA,9.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
GARLIC BREAD,3.5,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
SAUTEED SPINACH,11.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
DINNER SALAD,6.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
ANTIPASTO,11.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
CHEFS SPECIAL SALAD,11.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
CHEF SPECIAL WITH CHICKEN SALAD,14.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
3 TOPPINGS PIZZA,19.5,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
4 TOPPINGS PIZZA,21.5,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
VEGGIE PIZZA,21.5,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
MEATLOVER PIZZA,21.5,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
SPECIAL PIZZA,26.5,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
CHEESE SICILIAN DEEP DISH PIZZA,23.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
VEGGIE SICILIAN DEEP DISH PIZZA,32.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
MEAT SICILIAN DEEP DISH PIZZA,32.0,,ROMANO'S PIZZA,"UBEREATS, HOUSTON, TX",,,,,,,
