name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BEACH BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
BERRY FRESH BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
POWER BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
BAYOU CITY BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
CHAI'S MYSTIQUE BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
IF LOOKS COULD KALE,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
OASIS BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
JUNGLE BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
SUMMIT BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
PARADISE BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
CLOUD NINE BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
PB & J BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
DRAGON BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
LEMON SQUEEZE BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
YOGA BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
BRAVOCADO BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
GREENS GURU BOWL,9.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
BOW WOW BOWL,3.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
TROPIC BLISS SMOOTHIE,7.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
STRAWBERRY SUNRISE SMOOTHIE,7.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
PITAYA PLAYA SMOOTHIE,7.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
SOUTHERN LEMON SMOOTHIE,7.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
SUPER PROTEIN SMOOTHIE,7.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
PEACH PUMP SMOOTHIE,7.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
PB CRUNCH SMOOTHIE,7.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
SWEET HEAT SMOOTHIE,7.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
GREEN RX,8.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
HANGOVER CURE SMOOTHIE,8.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
FROST FIGHTER SMOOTHIE,8.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
RUSH BITES,3.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
PEANUT BUTTER (8 OZ),4.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
PEANUT BUTTER (16 OZ),7.99,,RUSH BOWLS,"UBEREATS, HOUSTON, TX",,,,,,,
