name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
LARGE 16,14.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
MEDIUM 12 PIZZA,12.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
FETTUCCINE ALFREDO,16.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CREATE YOUR OWN,14.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
MOZZARELLA FRITTI,12.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
INSALATA CAPRESE,12.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
LIBERTY WINGS,14.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SPINACH & ARTICHOKE DIP,13.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
EAST COAST CALAMARI,14.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
RUSSO’S HOMEMADE MEATBALLS,7.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
HOMEMADE GARLIC KNOTS,9.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
ITALIAN GARLIC BREAD,4.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BRUCHETTA POMODORO,8.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
TOMATO BASIL,5.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
TORTELLINI BRODO,5.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SOUP & SALAD COMBO,9.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CAESAR SALAD,6.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
GREEK SALAD,6.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
MEDITERRANEAN SALAD,7.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CUCUMBER & FETA,8.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
HOUSE,5.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
LARGE 16 BROOKLYN SQUARE,14.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
RUSSO'S GIANT PARTY PIZZA,50.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BY THE SLICE,6.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
MULBERRY™,16.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN RUSTICA™,16.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
ITALIAN WORKS™,16.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BUFFALO CHICKEN RANCH,16.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
MARGHERITA,16.0,,RUSSO’S NEW YORK PIZZERIA & ITALIAN KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
