name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TORTA,9.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
MAKE YOUR OWN DISH,14.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
QUESADILLA,9.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
GALLINA (SOPA),17.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
BURRITO,9.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
TACO,2.75,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
VEGAN BOWL,10.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
TEQUENOS (5),7.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
TEQUENOS GUAYABA (3),7.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
TEQUEÑOS MAIZ (5),8.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
TEQUEÑOS MINI (10),8.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
TEQUENOS NUTELLA (5),8.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
BREAKFAST BURRITO,7.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
BREAKFAST TACO,2.25,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
PLATANOS,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
TOSTONES,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
VEGETARIAN BURRITO,9.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
VEGETARIAN QUESADILLA,9.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
VEGETARIAN TACO,2.75,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
VEGETARIAN TORTA,9.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
MARISCO (SOPA),18.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
MONDOGO (SOPA),17.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
RES (SOPA),17.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
BLACK BEANS,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
FRENCH FRIES,4.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
RICE,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
CAN DRINK,1.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
CHICHA,6.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
CHINOTTO,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
COCA-COLA®,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
COCA-COLA® ZERO SUGAR,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
COLOMBIANA,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
DIET COKE®,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
FANTA® ORANGE,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
FANTA® PINA COLADA,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
FRESS KOLITA (CAN),3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
FRESS KOLITA (BOTTLE),3.5,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
FRESS KOLITA UVA (BOTTLE),3.5,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
FRESS KOLITA ZERO (CAN),3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
ICED TEA FUSION,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
JUGO FRUTA (SMALL),2.5,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
JUICE,4.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
MALTA POLAR (LARGE),3.5,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
MALTA POLAR (SMALL),2.5,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
MANZANITA POSTOBON,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
MINUTE MAID® FRUIT PUNCH,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
MINUTE MAID® LEMONADE,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
MINUTE MAID® LEMONADE PINK,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
MINUTE MAID® ORANGE JUICE,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
PERRIER,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
S. PELLEGRINO,3.0,,SABOR MEXICANO,"UBEREATS, HOUSTON, TX",,,,,,,
