name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CINNAMON OATMEAL,8.0,,SALENTO WINE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
THE HOUSE MIGAS,12.0,,SALENTO WINE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
STEAK & EGG TACOS,15.0,,SALENTO WINE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
OVER EASY TARTINE,15.0,,SALENTO WINE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
AVOCADO TOAST,10.0,,SALENTO WINE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
BREAKFAST TACOS,9.0,,SALENTO WINE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
VILLAGE SCRAMBLE,14.0,,SALENTO WINE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
AVOCADO SLICES,2.5,,SALENTO WINE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
BACON,2.5,,SALENTO WINE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
TWO EGGS,2.5,,SALENTO WINE CAFE,"UBEREATS, HOUSTON, TX",,,,,,,
